date,anxiety,isPartial
2015-01-04,84,False
2015-01-11,83,False
2015-01-18,88,False
2015-01-25,90,False
2015-02-01,82,False
2015-02-08,81,False
2015-02-15,83,False
2015-02-22,89,False
2015-03-01,87,False
2015-03-08,92,False
2015-03-15,85,False
2015-03-22,90,False
2015-03-29,87,False
2015-04-05,88,False
2015-04-12,87,False
2015-04-19,91,False
2015-04-26,93,False
2015-05-03,85,False
2015-05-10,87,False
2015-05-17,83,False
2015-05-24,86,False
2015-05-31,84,False
2015-06-07,87,False
2015-06-14,87,False
2015-06-21,84,False
2015-06-28,87,False
2015-07-05,95,False
2015-07-12,91,False
2015-07-19,98,False
2015-07-26,90,False
2015-08-02,95,False
2015-08-09,97,False
2015-08-16,98,False
2015-08-23,100,False
2015-08-30,95,False
2015-09-06,94,False
2015-09-13,99,False
2015-09-20,96,False
2015-09-27,97,False
2015-10-04,99,False
2015-10-11,100,False
2015-10-18,99,False
2015-10-25,96,False
2015-11-01,100,False
2015-11-08,96,False
2015-11-15,95,False
2015-11-22,80,False
2015-11-29,97,False
2015-12-06,100,False
2015-12-13,94,False
2015-12-20,76,False
2015-12-27,85,False
