date,anxiety,isPartial
2014-01-05,90,False
2014-01-12,97,False
2014-01-19,95,False
2014-01-26,95,False
2014-02-02,87,False
2014-02-09,86,False
2014-02-16,91,False
2014-02-23,97,False
2014-03-02,89,False
2014-03-09,100,False
2014-03-16,95,False
2014-03-23,98,False
2014-03-30,95,False
2014-04-06,96,False
2014-04-13,88,False
2014-04-20,95,False
2014-04-27,95,False
2014-05-04,91,False
2014-05-11,91,False
2014-05-18,92,False
2014-05-25,84,False
2014-06-01,86,False
2014-06-08,87,False
2014-06-15,85,False
2014-06-22,91,False
2014-06-29,90,False
2014-07-06,92,False
2014-07-13,88,False
2014-07-20,93,False
2014-07-27,94,False
2014-08-03,94,False
2014-08-10,99,False
2014-08-17,96,False
2014-08-24,96,False
2014-08-31,93,False
2014-09-07,96,False
2014-09-14,98,False
2014-09-21,93,False
2014-09-28,97,False
2014-10-05,99,False
2014-10-12,91,False
2014-10-19,94,False
2014-10-26,97,False
2014-11-02,96,False
2014-11-09,94,False
2014-11-16,95,False
2014-11-23,85,False
2014-11-30,98,False
2014-12-07,94,False
2014-12-14,85,False
2014-12-21,73,False
2014-12-28,81,False
