date,anxiety,isPartial
2016-01-03,92,False
2016-01-10,82,False
2016-01-17,83,False
2016-01-24,91,False
2016-01-31,87,False
2016-02-07,89,False
2016-02-14,92,False
2016-02-21,94,False
2016-02-28,91,False
2016-03-06,95,False
2016-03-13,92,False
2016-03-20,92,False
2016-03-27,91,False
2016-04-03,95,False
2016-04-10,96,False
2016-04-17,97,False
2016-04-24,95,False
2016-05-01,91,False
2016-05-08,93,False
2016-05-15,90,False
2016-05-22,85,False
2016-05-29,82,False
2016-06-05,88,False
2016-06-12,81,False
2016-06-19,87,False
2016-06-26,87,False
2016-07-03,90,False
2016-07-10,88,False
2016-07-17,87,False
2016-07-24,89,False
2016-07-31,87,False
2016-08-07,89,False
2016-08-14,80,False
2016-08-21,90,False
2016-08-28,89,False
2016-09-04,93,False
2016-09-11,96,False
2016-09-18,100,False
2016-09-25,91,False
2016-10-02,94,False
2016-10-09,96,False
2016-10-16,98,False
2016-10-23,94,False
2016-10-30,93,False
2016-11-06,86,False
2016-11-13,95,False
2016-11-20,75,False
2016-11-27,98,False
2016-12-04,95,False
2016-12-11,87,False
2016-12-18,81,False
2016-12-25,80,False
