date,anxiety,isPartial
2012-01-01,80,False
2012-01-08,95,False
2012-01-15,97,False
2012-01-22,95,False
2012-01-29,91,False
2012-02-05,96,False
2012-02-12,94,False
2012-02-19,96,False
2012-02-26,97,False
2012-03-04,94,False
2012-03-11,91,False
2012-03-18,91,False
2012-03-25,86,False
2012-04-01,87,False
2012-04-08,91,False
2012-04-15,93,False
2012-04-22,95,False
2012-04-29,92,False
2012-05-06,86,False
2012-05-13,85,False
2012-05-20,84,False
2012-05-27,84,False
2012-06-03,86,False
2012-06-10,87,False
2012-06-17,90,False
2012-06-24,87,False
2012-07-01,82,False
2012-07-08,90,False
2012-07-15,87,False
2012-07-22,87,False
2012-07-29,90,False
2012-08-05,89,False
2012-08-12,93,False
2012-08-19,93,False
2012-08-26,95,False
2012-09-02,96,False
2012-09-09,100,False
2012-09-16,97,False
2012-09-23,94,False
2012-09-30,100,False
2012-10-07,93,False
2012-10-14,99,False
2012-10-21,99,False
2012-10-28,87,False
2012-11-04,88,False
2012-11-11,98,False
2012-11-18,84,False
2012-11-25,93,False
2012-12-02,96,False
2012-12-09,94,False
2012-12-16,80,False
2012-12-23,74,False
2012-12-30,91,False
