geoName,unsettling
Alabama,90
Alaska,0
Arizona,65
Arkansas,74
California,82
Colorado,52
Connecticut,27
Delaware,0
District of Columbia,75
Florida,72
Georgia,49
Hawaii,0
Idaho,0
Illinois,72
Indiana,72
Iowa,34
Kansas,43
Kentucky,69
Louisiana,100
Maine,0
Maryland,82
Massachusetts,86
Michigan,83
Minnesota,81
Mississippi,30
Missouri,16
Montana,0
Nebraska,0
Nevada,45
New Hampshire,0
New Jersey,60
New Mexico,96
New York,64
North Carolina,88
North Dakota,0
Ohio,84
Oklahoma,85
Oregon,99
Pennsylvania,82
Rhode Island,0
South Carolina,38
South Dakota,0
Tennessee,75
Texas,51
Utah,63
Vermont,0
Virginia,50
Washington,64
West Virginia,0
Wisconsin,38
Wyoming,0
