geoName,unsettling
Alabama,15
Alaska,0
Arizona,20
Arkansas,85
California,24
Colorado,17
Connecticut,17
Delaware,0
District of Columbia,23
Florida,12
Georgia,15
Hawaii,0
Idaho,0
Illinois,19
Indiana,33
Iowa,18
Kansas,8
Kentucky,13
Louisiana,30
Maine,0
Maryland,38
Massachusetts,26
Michigan,28
Minnesota,32
Mississippi,33
Missouri,21
Montana,0
Nebraska,0
Nevada,8
New Hampshire,0
New Jersey,24
New Mexico,100
New York,29
North Carolina,20
North Dakota,0
Ohio,33
Oklahoma,0
Oregon,26
Pennsylvania,23
Rhode Island,0
South Carolina,28
South Dakota,0
Tennessee,19
Texas,27
Utah,8
Vermont,0
Virginia,45
Washington,36
West Virginia,0
Wisconsin,17
Wyoming,0
