geoName,unsettling
Alabama,13
Alaska,0
Arizona,56
Arkansas,100
California,78
Colorado,31
Connecticut,47
Delaware,0
District of Columbia,38
Florida,50
Georgia,27
Hawaii,0
Idaho,0
Illinois,69
Indiana,90
Iowa,17
Kansas,47
Kentucky,41
Louisiana,56
Maine,0
Maryland,58
Massachusetts,53
Michigan,92
Minnesota,79
Mississippi,22
Missouri,70
Montana,0
Nebraska,0
Nevada,27
New Hampshire,0
New Jersey,57
New Mexico,62
New York,68
North Carolina,58
North Dakota,0
Ohio,60
Oklahoma,46
Oregon,59
Pennsylvania,76
Rhode Island,0
South Carolina,54
South Dakota,0
Tennessee,59
Texas,55
Utah,16
Vermont,0
Virginia,49
Washington,41
West Virginia,0
Wisconsin,44
Wyoming,0
