geoName,unsettling
Alabama,58
Alaska,0
Arizona,48
Arkansas,87
California,53
Colorado,33
Connecticut,43
Delaware,0
District of Columbia,44
Florida,36
Georgia,23
Hawaii,0
Idaho,0
Illinois,37
Indiana,10
Iowa,58
Kansas,55
Kentucky,41
Louisiana,57
Maine,0
Maryland,28
Massachusetts,55
Michigan,30
Minnesota,38
Mississippi,83
Missouri,57
Montana,0
Nebraska,0
Nevada,57
New Hampshire,0
New Jersey,24
New Mexico,100
New York,36
North Carolina,57
North Dakota,0
Ohio,38
Oklahoma,18
Oregon,62
Pennsylvania,29
Rhode Island,0
South Carolina,13
South Dakota,0
Tennessee,43
Texas,34
Utah,34
Vermont,0
Virginia,41
Washington,24
West Virginia,0
Wisconsin,49
Wyoming,0
