geoName,unsettling
Alabama,35
Alaska,0
Arizona,63
Arkansas,32
California,34
Colorado,24
Connecticut,40
Delaware,0
District of Columbia,46
Florida,28
Georgia,54
Hawaii,0
Idaho,0
Illinois,30
Indiana,100
Iowa,60
Kansas,21
Kentucky,33
Louisiana,0
Maine,0
Maryland,33
Massachusetts,35
Michigan,67
Minnesota,44
Mississippi,34
Missouri,20
Montana,0
Nebraska,0
Nevada,22
New Hampshire,0
New Jersey,54
New Mexico,0
New York,45
North Carolina,48
North Dakota,0
Ohio,30
Oklahoma,40
Oregon,45
Pennsylvania,49
Rhode Island,0
South Carolina,16
South Dakota,0
Tennessee,32
Texas,28
Utah,20
Vermont,0
Virginia,75
Washington,29
West Virginia,0
Wisconsin,51
Wyoming,0
