geoName,unsettling
Alabama,28
Alaska,0
Arizona,50
Arkansas,12
California,73
Colorado,36
Connecticut,81
Delaware,0
District of Columbia,60
Florida,59
Georgia,31
Hawaii,0
Idaho,0
Illinois,69
Indiana,97
Iowa,51
Kansas,49
Kentucky,86
Louisiana,22
Maine,0
Maryland,95
Massachusetts,70
Michigan,61
Minnesota,52
Mississippi,28
Missouri,70
Montana,0
Nebraska,0
Nevada,98
New Hampshire,0
New Jersey,52
New Mexico,34
New York,85
North Carolina,55
North Dakota,0
Ohio,48
Oklahoma,28
Oregon,86
Pennsylvania,63
Rhode Island,0
South Carolina,26
South Dakota,0
Tennessee,67
Texas,54
Utah,100
Vermont,0
Virginia,66
Washington,74
West Virginia,0
Wisconsin,67
Wyoming,0
