date,debilitating,isPartial
2016-01-03,80,False
2016-01-10,48,False
2016-01-17,65,False
2016-01-24,70,False
2016-01-31,65,False
2016-02-07,91,False
2016-02-14,71,False
2016-02-21,65,False
2016-02-28,74,False
2016-03-06,92,False
2016-03-13,64,False
2016-03-20,70,False
2016-03-27,69,False
2016-04-03,94,False
2016-04-10,69,False
2016-04-17,82,False
2016-04-24,86,False
2016-05-01,90,False
2016-05-08,71,False
2016-05-15,90,False
2016-05-22,77,False
2016-05-29,69,False
2016-06-05,66,False
2016-06-12,58,False
2016-06-19,65,False
2016-06-26,55,False
2016-07-03,51,False
2016-07-10,67,False
2016-07-17,66,False
2016-07-24,57,False
2016-07-31,48,False
2016-08-07,50,False
2016-08-14,41,False
2016-08-21,46,False
2016-08-28,78,False
2016-09-04,66,False
2016-09-11,49,False
2016-09-18,57,False
2016-09-25,75,False
2016-10-02,60,False
2016-10-09,88,False
2016-10-16,85,False
2016-10-23,90,False
2016-10-30,78,False
2016-11-06,100,False
2016-11-13,67,False
2016-11-20,58,False
2016-11-27,93,False
2016-12-04,80,False
2016-12-11,69,False
2016-12-18,55,False
2016-12-25,51,False
