date,debilitating,isPartial
2014-01-05,77,False
2014-01-12,68,False
2014-01-19,76,False
2014-01-26,76,False
2014-02-02,81,False
2014-02-09,60,False
2014-02-16,54,False
2014-02-23,83,False
2014-03-02,64,False
2014-03-09,66,False
2014-03-16,70,False
2014-03-23,64,False
2014-03-30,81,False
2014-04-06,92,False
2014-04-13,69,False
2014-04-20,62,False
2014-04-27,86,False
2014-05-04,75,False
2014-05-11,69,False
2014-05-18,73,False
2014-05-25,62,False
2014-06-01,64,False
2014-06-08,59,False
2014-06-15,62,False
2014-06-22,55,False
2014-06-29,83,False
2014-07-06,49,False
2014-07-13,49,False
2014-07-20,66,False
2014-07-27,60,False
2014-08-03,53,False
2014-08-10,79,False
2014-08-17,69,False
2014-08-24,86,False
2014-08-31,54,False
2014-09-07,74,False
2014-09-14,52,False
2014-09-21,79,False
2014-09-28,89,False
2014-10-05,100,False
2014-10-12,94,False
2014-10-19,81,False
2014-10-26,56,False
2014-11-02,83,False
2014-11-09,77,False
2014-11-16,91,False
2014-11-23,51,False
2014-11-30,78,False
2014-12-07,71,False
2014-12-14,76,False
2014-12-21,42,False
2014-12-28,41,False
