date,debilitating,isPartial
2011-01-02,63,False
2011-01-09,62,False
2011-01-16,58,False
2011-01-23,67,False
2011-01-30,77,False
2011-02-06,79,False
2011-02-13,61,False
2011-02-20,61,False
2011-02-27,59,False
2011-03-06,39,False
2011-03-13,35,False
2011-03-20,49,False
2011-03-27,36,False
2011-04-03,66,False
2011-04-10,52,False
2011-04-17,71,False
2011-04-24,53,False
2011-05-01,79,False
2011-05-08,73,False
2011-05-15,66,False
2011-05-22,61,False
2011-05-29,49,False
2011-06-05,94,False
2011-06-12,58,False
2011-06-19,53,False
2011-06-26,65,False
2011-07-03,45,False
2011-07-10,50,False
2011-07-17,88,False
2011-07-24,45,False
2011-07-31,55,False
2011-08-07,73,False
2011-08-14,42,False
2011-08-21,54,False
2011-08-28,57,False
2011-09-04,56,False
2011-09-11,76,False
2011-09-18,48,False
2011-09-25,60,False
2011-10-02,66,False
2011-10-09,71,False
2011-10-16,50,False
2011-10-23,64,False
2011-10-30,78,False
2011-11-06,69,False
2011-11-13,100,False
2011-11-20,79,False
2011-11-27,94,False
2011-12-04,72,False
2011-12-11,84,False
2011-12-18,41,False
2011-12-25,43,False
