date,debilitating,isPartial
2013-01-06,78,False
2013-01-13,62,False
2013-01-20,58,False
2013-01-27,72,False
2013-02-03,72,False
2013-02-10,86,False
2013-02-17,59,False
2013-02-24,84,False
2013-03-03,96,False
2013-03-10,99,False
2013-03-17,62,False
2013-03-24,93,False
2013-03-31,71,False
2013-04-07,84,False
2013-04-14,81,False
2013-04-21,60,False
2013-04-28,62,False
2013-05-05,80,False
2013-05-12,76,False
2013-05-19,79,False
2013-05-26,97,False
2013-06-02,64,False
2013-06-09,61,False
2013-06-16,55,False
2013-06-23,65,False
2013-06-30,63,False
2013-07-07,52,False
2013-07-14,52,False
2013-07-21,65,False
2013-07-28,61,False
2013-08-04,64,False
2013-08-11,61,False
2013-08-18,63,False
2013-08-25,90,False
2013-09-01,74,False
2013-09-08,86,False
2013-09-15,88,False
2013-09-22,86,False
2013-09-29,100,False
2013-10-06,83,False
2013-10-13,59,False
2013-10-20,82,False
2013-10-27,100,False
2013-11-03,73,False
2013-11-10,83,False
2013-11-17,91,False
2013-11-24,70,False
2013-12-01,97,False
2013-12-08,95,False
2013-12-15,81,False
2013-12-22,45,False
2013-12-29,54,False
