date,debilitating,isPartial
2015-01-04,61,False
2015-01-11,65,False
2015-01-18,68,False
2015-01-25,64,False
2015-02-01,74,False
2015-02-08,85,False
2015-02-15,66,False
2015-02-22,67,False
2015-03-01,79,False
2015-03-08,58,False
2015-03-15,61,False
2015-03-22,55,False
2015-03-29,56,False
2015-04-05,70,False
2015-04-12,86,False
2015-04-19,80,False
2015-04-26,77,False
2015-05-03,64,False
2015-05-10,75,False
2015-05-17,70,False
2015-05-24,57,False
2015-05-31,75,False
2015-06-07,66,False
2015-06-14,50,False
2015-06-21,64,False
2015-06-28,47,False
2015-07-05,66,False
2015-07-12,44,False
2015-07-19,46,False
2015-07-26,46,False
2015-08-02,57,False
2015-08-09,38,False
2015-08-16,64,False
2015-08-23,84,False
2015-08-30,100,False
2015-09-06,61,False
2015-09-13,76,False
2015-09-20,93,False
2015-09-27,79,False
2015-10-04,62,False
2015-10-11,63,False
2015-10-18,58,False
2015-10-25,90,False
2015-11-01,76,False
2015-11-08,84,False
2015-11-15,95,False
2015-11-22,83,False
2015-11-29,69,False
2015-12-06,83,False
2015-12-13,73,False
2015-12-20,42,False
2015-12-27,50,False
