date,vulnerable,isPartial
2015-01-04,53,False
2015-01-11,72,False
2015-01-18,68,False
2015-01-25,79,False
2015-02-01,77,False
2015-02-08,79,False
2015-02-15,73,False
2015-02-22,77,False
2015-03-01,86,False
2015-03-08,88,False
2015-03-15,79,False
2015-03-22,89,False
2015-03-29,71,False
2015-04-05,69,False
2015-04-12,85,False
2015-04-19,82,False
2015-04-26,80,False
2015-05-03,76,False
2015-05-10,91,False
2015-05-17,73,False
2015-05-24,73,False
2015-05-31,57,False
2015-06-07,66,False
2015-06-14,56,False
2015-06-21,68,False
2015-06-28,60,False
2015-07-05,69,False
2015-07-12,72,False
2015-07-19,69,False
2015-07-26,62,False
2015-08-02,58,False
2015-08-09,53,False
2015-08-16,49,False
2015-08-23,71,False
2015-08-30,70,False
2015-09-06,73,False
2015-09-13,85,False
2015-09-20,77,False
2015-09-27,92,False
2015-10-04,85,False
2015-10-11,76,False
2015-10-18,97,False
2015-10-25,83,False
2015-11-01,94,False
2015-11-08,86,False
2015-11-15,88,False
2015-11-22,64,False
2015-11-29,100,False
2015-12-06,84,False
2015-12-13,77,False
2015-12-20,58,False
2015-12-27,52,False
