date,amenorrhea,isPartial
2011-01-02,62,False
2011-01-09,64,False
2011-01-16,78,False
2011-01-23,60,False
2011-01-30,57,False
2011-02-06,50,False
2011-02-13,70,False
2011-02-20,58,False
2011-02-27,77,False
2011-03-06,62,False
2011-03-13,66,False
2011-03-20,64,False
2011-03-27,82,False
2011-04-03,77,False
2011-04-10,99,False
2011-04-17,100,False
2011-04-24,84,False
2011-05-01,77,False
2011-05-08,62,False
2011-05-15,63,False
2011-05-22,65,False
2011-05-29,62,False
2011-06-05,85,False
2011-06-12,57,False
2011-06-19,64,False
2011-06-26,77,False
2011-07-03,60,False
2011-07-10,79,False
2011-07-17,70,False
2011-07-24,74,False
2011-07-31,94,False
2011-08-07,63,False
2011-08-14,57,False
2011-08-21,57,False
2011-08-28,77,False
2011-09-04,77,False
2011-09-11,65,False
2011-09-18,89,False
2011-09-25,61,False
2011-10-02,59,False
2011-10-09,76,False
2011-10-16,84,False
2011-10-23,84,False
2011-10-30,66,False
2011-11-06,69,False
2011-11-13,82,False
2011-11-20,70,False
2011-11-27,72,False
2011-12-04,71,False
2011-12-11,67,False
2011-12-18,55,False
2011-12-25,55,False
