date,amenorrhea,isPartial
2013-01-06,60,False
2013-01-13,64,False
2013-01-20,66,False
2013-01-27,86,False
2013-02-03,74,False
2013-02-10,70,False
2013-02-17,72,False
2013-02-24,80,False
2013-03-03,82,False
2013-03-10,76,False
2013-03-17,81,False
2013-03-24,70,False
2013-03-31,87,False
2013-04-07,70,False
2013-04-14,81,False
2013-04-21,91,False
2013-04-28,92,False
2013-05-05,80,False
2013-05-12,79,False
2013-05-19,69,False
2013-05-26,51,False
2013-06-02,81,False
2013-06-09,63,False
2013-06-16,73,False
2013-06-23,59,False
2013-06-30,57,False
2013-07-07,64,False
2013-07-14,72,False
2013-07-21,61,False
2013-07-28,57,False
2013-08-04,63,False
2013-08-11,67,False
2013-08-18,63,False
2013-08-25,52,False
2013-09-01,74,False
2013-09-08,82,False
2013-09-15,64,False
2013-09-22,100,False
2013-09-29,70,False
2013-10-06,83,False
2013-10-13,78,False
2013-10-20,72,False
2013-10-27,69,False
2013-11-03,95,False
2013-11-10,80,False
2013-11-17,86,False
2013-11-24,61,False
2013-12-01,87,False
2013-12-08,70,False
2013-12-15,59,False
2013-12-22,50,False
2013-12-29,39,False
