date,amenorrhea,isPartial
2016-01-03,53,False
2016-01-10,66,False
2016-01-17,70,False
2016-01-24,65,False
2016-01-31,72,False
2016-02-07,84,False
2016-02-14,71,False
2016-02-21,66,False
2016-02-28,86,False
2016-03-06,92,False
2016-03-13,88,False
2016-03-20,83,False
2016-03-27,82,False
2016-04-03,100,False
2016-04-10,83,False
2016-04-17,94,False
2016-04-24,86,False
2016-05-01,78,False
2016-05-08,72,False
2016-05-15,62,False
2016-05-22,68,False
2016-05-29,60,False
2016-06-05,72,False
2016-06-12,64,False
2016-06-19,69,False
2016-06-26,64,False
2016-07-03,59,False
2016-07-10,82,False
2016-07-17,67,False
2016-07-24,73,False
2016-07-31,71,False
2016-08-07,49,False
2016-08-14,60,False
2016-08-21,58,False
2016-08-28,69,False
2016-09-04,70,False
2016-09-11,56,False
2016-09-18,71,False
2016-09-25,73,False
2016-10-02,76,False
2016-10-09,61,False
2016-10-16,80,False
2016-10-23,96,False
2016-10-30,72,False
2016-11-06,73,False
2016-11-13,88,False
2016-11-20,60,False
2016-11-27,84,False
2016-12-04,81,False
2016-12-11,73,False
2016-12-18,58,False
2016-12-25,34,False
