date,amenorrhea,isPartial
2015-01-04,57,False
2015-01-11,52,False
2015-01-18,61,False
2015-01-25,80,False
2015-02-01,62,False
2015-02-08,78,False
2015-02-15,84,False
2015-02-22,90,False
2015-03-01,81,False
2015-03-08,78,False
2015-03-15,66,False
2015-03-22,79,False
2015-03-29,68,False
2015-04-05,99,False
2015-04-12,90,False
2015-04-19,79,False
2015-04-26,86,False
2015-05-03,84,False
2015-05-10,66,False
2015-05-17,87,False
2015-05-24,51,False
2015-05-31,68,False
2015-06-07,79,False
2015-06-14,59,False
2015-06-21,73,False
2015-06-28,69,False
2015-07-05,60,False
2015-07-12,80,False
2015-07-19,74,False
2015-07-26,78,False
2015-08-02,62,False
2015-08-09,64,False
2015-08-16,49,False
2015-08-23,62,False
2015-08-30,62,False
2015-09-06,64,False
2015-09-13,61,False
2015-09-20,82,False
2015-09-27,65,False
2015-10-04,100,False
2015-10-11,88,False
2015-10-18,75,False
2015-10-25,75,False
2015-11-01,82,False
2015-11-08,99,False
2015-11-15,85,False
2015-11-22,66,False
2015-11-29,92,False
2015-12-06,74,False
2015-12-13,67,False
2015-12-20,42,False
2015-12-27,48,False
