date,amenorrhea,isPartial
2012-01-01,51,False
2012-01-08,59,False
2012-01-15,61,False
2012-01-22,81,False
2012-01-29,81,False
2012-02-05,79,False
2012-02-12,77,False
2012-02-19,64,False
2012-02-26,78,False
2012-03-04,84,False
2012-03-11,69,False
2012-03-18,100,False
2012-03-25,89,False
2012-04-01,62,False
2012-04-08,65,False
2012-04-15,94,False
2012-04-22,85,False
2012-04-29,76,False
2012-05-06,80,False
2012-05-13,87,False
2012-05-20,74,False
2012-05-27,74,False
2012-06-03,80,False
2012-06-10,67,False
2012-06-17,75,False
2012-06-24,68,False
2012-07-01,76,False
2012-07-08,73,False
2012-07-15,64,False
2012-07-22,69,False
2012-07-29,74,False
2012-08-05,54,False
2012-08-12,62,False
2012-08-19,67,False
2012-08-26,59,False
2012-09-02,64,False
2012-09-09,75,False
2012-09-16,75,False
2012-09-23,80,False
2012-09-30,77,False
2012-10-07,69,False
2012-10-14,92,False
2012-10-21,92,False
2012-10-28,85,False
2012-11-04,93,False
2012-11-11,84,False
2012-11-18,60,False
2012-11-25,80,False
2012-12-02,93,False
2012-12-09,87,False
2012-12-16,54,False
2012-12-23,30,False
2012-12-30,45,False
