date,amenorrhea,isPartial
2014-01-05,65,False
2014-01-12,63,False
2014-01-19,73,False
2014-01-26,67,False
2014-02-02,76,False
2014-02-09,60,False
2014-02-16,71,False
2014-02-23,74,False
2014-03-02,72,False
2014-03-09,86,False
2014-03-16,81,False
2014-03-23,79,False
2014-03-30,89,False
2014-04-06,76,False
2014-04-13,72,False
2014-04-20,85,False
2014-04-27,100,False
2014-05-04,85,False
2014-05-11,75,False
2014-05-18,67,False
2014-05-25,52,False
2014-06-01,62,False
2014-06-08,71,False
2014-06-15,78,False
2014-06-22,54,False
2014-06-29,75,False
2014-07-06,54,False
2014-07-13,78,False
2014-07-20,66,False
2014-07-27,67,False
2014-08-03,59,False
2014-08-10,58,False
2014-08-17,67,False
2014-08-24,61,False
2014-08-31,50,False
2014-09-07,78,False
2014-09-14,63,False
2014-09-21,76,False
2014-09-28,63,False
2014-10-05,72,False
2014-10-12,83,False
2014-10-19,85,False
2014-10-26,74,False
2014-11-02,76,False
2014-11-09,67,False
2014-11-16,86,False
2014-11-23,53,False
2014-11-30,76,False
2014-12-07,66,False
2014-12-14,79,False
2014-12-21,49,False
2014-12-28,36,False
