date,affect,isPartial
2011-01-02,71,False
2011-01-09,78,False
2011-01-16,79,False
2011-01-23,86,False
2011-01-30,87,False
2011-02-06,88,False
2011-02-13,87,False
2011-02-20,88,False
2011-02-27,90,False
2011-03-06,97,False
2011-03-13,94,False
2011-03-20,89,False
2011-03-27,89,False
2011-04-03,100,False
2011-04-10,96,False
2011-04-17,85,False
2011-04-24,92,False
2011-05-01,90,False
2011-05-08,86,False
2011-05-15,83,False
2011-05-22,79,False
2011-05-29,72,False
2011-06-05,68,False
2011-06-12,63,False
2011-06-19,56,False
2011-06-26,60,False
2011-07-03,55,False
2011-07-10,58,False
2011-07-17,59,False
2011-07-24,60,False
2011-07-31,63,False
2011-08-07,58,False
2011-08-14,59,False
2011-08-21,68,False
2011-08-28,69,False
2011-09-04,78,False
2011-09-11,88,False
2011-09-18,92,False
2011-09-25,94,False
2011-10-02,93,False
2011-10-09,94,False
2011-10-16,89,False
2011-10-23,92,False
2011-10-30,94,False
2011-11-06,90,False
2011-11-13,99,False
2011-11-20,66,False
2011-11-27,93,False
2011-12-04,96,False
2011-12-11,85,False
2011-12-18,54,False
2011-12-25,42,False
