date,affect,isPartial
2012-01-01,62,False
2012-01-08,74,False
2012-01-15,77,False
2012-01-22,79,False
2012-01-29,85,False
2012-02-05,85,False
2012-02-12,81,False
2012-02-19,81,False
2012-02-26,93,False
2012-03-04,89,False
2012-03-11,81,False
2012-03-18,84,False
2012-03-25,84,False
2012-04-01,73,False
2012-04-08,79,False
2012-04-15,91,False
2012-04-22,90,False
2012-04-29,89,False
2012-05-06,86,False
2012-05-13,79,False
2012-05-20,73,False
2012-05-27,69,False
2012-06-03,66,False
2012-06-10,60,False
2012-06-17,59,False
2012-06-24,63,False
2012-07-01,52,False
2012-07-08,56,False
2012-07-15,58,False
2012-07-22,55,False
2012-07-29,55,False
2012-08-05,53,False
2012-08-12,53,False
2012-08-19,62,False
2012-08-26,69,False
2012-09-02,71,False
2012-09-09,87,False
2012-09-16,88,False
2012-09-23,92,False
2012-09-30,98,False
2012-10-07,89,False
2012-10-14,93,False
2012-10-21,96,False
2012-10-28,100,False
2012-11-04,95,False
2012-11-11,100,False
2012-11-18,67,False
2012-11-25,96,False
2012-12-02,100,False
2012-12-09,93,False
2012-12-16,71,False
2012-12-23,42,False
2012-12-30,63,False
