date,knowledgeable,isPartial
2015-01-04,76,False
2015-01-11,86,False
2015-01-18,79,False
2015-01-25,77,False
2015-02-01,89,False
2015-02-08,79,False
2015-02-15,78,False
2015-02-22,98,False
2015-03-01,79,False
2015-03-08,60,False
2015-03-15,70,False
2015-03-22,81,False
2015-03-29,83,False
2015-04-05,75,False
2015-04-12,68,False
2015-04-19,75,False
2015-04-26,79,False
2015-05-03,100,False
2015-05-10,66,False
2015-05-17,70,False
2015-05-24,83,False
2015-05-31,59,False
2015-06-07,81,False
2015-06-14,67,False
2015-06-21,83,False
2015-06-28,60,False
2015-07-05,67,False
2015-07-12,73,False
2015-07-19,79,False
2015-07-26,60,False
2015-08-02,66,False
2015-08-09,73,False
2015-08-16,88,False
2015-08-23,87,False
2015-08-30,81,False
2015-09-06,78,False
2015-09-13,67,False
2015-09-20,96,False
2015-09-27,70,False
2015-10-04,80,False
2015-10-11,79,False
2015-10-18,92,False
2015-10-25,81,False
2015-11-01,77,False
2015-11-08,80,False
2015-11-15,95,False
2015-11-22,51,False
2015-11-29,86,False
2015-12-06,83,False
2015-12-13,76,False
2015-12-20,43,False
2015-12-27,42,False
