date,knowledgeable,isPartial
2012-01-01,44,False
2012-01-08,82,False
2012-01-15,62,False
2012-01-22,75,False
2012-01-29,66,False
2012-02-05,65,False
2012-02-12,57,False
2012-02-19,52,False
2012-02-26,62,False
2012-03-04,70,False
2012-03-11,60,False
2012-03-18,71,False
2012-03-25,71,False
2012-04-01,64,False
2012-04-08,69,False
2012-04-15,57,False
2012-04-22,78,False
2012-04-29,82,False
2012-05-06,87,False
2012-05-13,82,False
2012-05-20,74,False
2012-05-27,68,False
2012-06-03,73,False
2012-06-10,80,False
2012-06-17,65,False
2012-06-24,61,False
2012-07-01,39,False
2012-07-08,58,False
2012-07-15,57,False
2012-07-22,58,False
2012-07-29,59,False
2012-08-05,51,False
2012-08-12,46,False
2012-08-19,71,False
2012-08-26,61,False
2012-09-02,68,False
2012-09-09,100,False
2012-09-16,66,False
2012-09-23,60,False
2012-09-30,80,False
2012-10-07,75,False
2012-10-14,68,False
2012-10-21,65,False
2012-10-28,41,False
2012-11-04,63,False
2012-11-11,76,False
2012-11-18,58,False
2012-11-25,80,False
2012-12-02,60,False
2012-12-09,67,False
2012-12-16,50,False
2012-12-23,31,False
2012-12-30,48,False
