date,talking,isPartial
2012-01-01,91,False
2012-01-08,86,False
2012-01-15,88,False
2012-01-22,88,False
2012-01-29,84,False
2012-02-05,82,False
2012-02-12,84,False
2012-02-19,83,False
2012-02-26,85,False
2012-03-04,84,False
2012-03-11,87,False
2012-03-18,91,False
2012-03-25,81,False
2012-04-01,78,False
2012-04-08,76,False
2012-04-15,78,False
2012-04-22,79,False
2012-04-29,78,False
2012-05-06,75,False
2012-05-13,78,False
2012-05-20,77,False
2012-05-27,76,False
2012-06-03,75,False
2012-06-10,74,False
2012-06-17,75,False
2012-06-24,76,False
2012-07-01,85,False
2012-07-08,87,False
2012-07-15,79,False
2012-07-22,79,False
2012-07-29,76,False
2012-08-05,78,False
2012-08-12,79,False
2012-08-19,82,False
2012-08-26,86,False
2012-09-02,85,False
2012-09-09,82,False
2012-09-16,87,False
2012-09-23,86,False
2012-09-30,89,False
2012-10-07,87,False
2012-10-14,92,False
2012-10-21,95,False
2012-10-28,90,False
2012-11-04,100,False
2012-11-11,93,False
2012-11-18,91,False
2012-11-25,91,False
2012-12-02,98,False
2012-12-09,93,False
2012-12-16,90,False
2012-12-23,92,False
2012-12-30,90,False
