geoName,uncooperative
Alabama,0
Alaska,0
Arizona,45
Arkansas,0
California,60
Colorado,52
Connecticut,28
Delaware,0
District of Columbia,23
Florida,55
Georgia,39
Hawaii,0
Idaho,0
Illinois,43
Indiana,26
Iowa,0
Kansas,0
Kentucky,0
Louisiana,30
Maine,0
Maryland,27
Massachusetts,36
Michigan,17
Minnesota,42
Mississippi,0
Missouri,38
Montana,0
Nebraska,0
Nevada,100
New Hampshire,0
New Jersey,62
New Mexico,0
New York,57
North Carolina,52
North Dakota,0
Ohio,33
Oklahoma,0
Oregon,14
Pennsylvania,70
Rhode Island,0
South Carolina,53
South Dakota,0
Tennessee,45
Texas,37
Utah,0
Vermont,0
Virginia,54
Washington,19
West Virginia,0
Wisconsin,86
Wyoming,0
