geoName,uncooperative
Alabama,0
Alaska,0
Arizona,44
Arkansas,0
California,40
Colorado,11
Connecticut,37
Delaware,0
District of Columbia,48
Florida,35
Georgia,52
Hawaii,0
Idaho,0
Illinois,34
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,49
Maine,0
Maryland,34
Massachusetts,49
Michigan,23
Minnesota,41
Mississippi,0
Missouri,41
Montana,0
Nebraska,0
Nevada,62
New Hampshire,0
New Jersey,99
New Mexico,0
New York,25
North Carolina,37
North Dakota,0
Ohio,42
Oklahoma,0
Oregon,16
Pennsylvania,40
Rhode Island,0
South Carolina,44
South Dakota,0
Tennessee,89
Texas,47
Utah,0
Vermont,0
Virginia,56
Washington,25
West Virginia,0
Wisconsin,100
Wyoming,0
