geoName,uncooperative
Alabama,0
Alaska,0
Arizona,69
Arkansas,0
California,53
Colorado,24
Connecticut,56
Delaware,0
District of Columbia,63
Florida,30
Georgia,39
Hawaii,0
Idaho,0
Illinois,53
Indiana,100
Iowa,0
Kansas,0
Kentucky,0
Louisiana,72
Maine,0
Maryland,54
Massachusetts,32
Michigan,33
Minnesota,26
Mississippi,0
Missouri,32
Montana,0
Nebraska,0
Nevada,37
New Hampshire,0
New Jersey,49
New Mexico,0
New York,51
North Carolina,45
North Dakota,0
Ohio,55
Oklahoma,0
Oregon,31
Pennsylvania,45
Rhode Island,0
South Carolina,9
South Dakota,0
Tennessee,63
Texas,43
Utah,0
Vermont,0
Virginia,58
Washington,42
West Virginia,0
Wisconsin,49
Wyoming,0
