geoName,uncooperative
Alabama,0
Alaska,0
Arizona,54
Arkansas,0
California,43
Colorado,23
Connecticut,73
Delaware,0
District of Columbia,46
Florida,41
Georgia,71
Hawaii,0
Idaho,0
Illinois,30
Indiana,89
Iowa,0
Kansas,0
Kentucky,0
Louisiana,55
Maine,0
Maryland,80
Massachusetts,60
Michigan,48
Minnesota,32
Mississippi,0
Missouri,9
Montana,0
Nebraska,0
Nevada,100
New Hampshire,0
New Jersey,43
New Mexico,0
New York,53
North Carolina,33
North Dakota,0
Ohio,48
Oklahoma,0
Oregon,14
Pennsylvania,53
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,27
Texas,52
Utah,0
Vermont,0
Virginia,32
Washington,56
West Virginia,0
Wisconsin,36
Wyoming,0
