geoName,uncooperative
Alabama,0
Alaska,0
Arizona,43
Arkansas,0
California,42
Colorado,31
Connecticut,11
Delaware,0
District of Columbia,7
Florida,39
Georgia,56
Hawaii,0
Idaho,0
Illinois,24
Indiana,69
Iowa,0
Kansas,0
Kentucky,0
Louisiana,24
Maine,0
Maryland,61
Massachusetts,38
Michigan,46
Minnesota,25
Mississippi,0
Missouri,26
Montana,0
Nebraska,0
Nevada,100
New Hampshire,0
New Jersey,50
New Mexico,0
New York,36
North Carolina,59
North Dakota,0
Ohio,35
Oklahoma,0
Oregon,13
Pennsylvania,28
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,31
Texas,45
Utah,0
Vermont,0
Virginia,14
Washington,44
West Virginia,0
Wisconsin,51
Wyoming,0
