geoName,inconsolable
Alabama,67
Alaska,0
Arizona,78
Arkansas,44
California,48
Colorado,45
Connecticut,16
Delaware,0
District of Columbia,80
Florida,30
Georgia,38
Hawaii,70
Idaho,57
Illinois,46
Indiana,30
Iowa,15
Kansas,42
Kentucky,21
Louisiana,78
Maine,0
Maryland,63
Massachusetts,69
Michigan,26
Minnesota,39
Mississippi,42
Missouri,54
Montana,0
Nebraska,19
Nevada,14
New Hampshire,100
New Jersey,50
New Mexico,25
New York,44
North Carolina,30
North Dakota,0
Ohio,55
Oklahoma,42
Oregon,55
Pennsylvania,54
Rhode Island,0
South Carolina,82
South Dakota,0
Tennessee,32
Texas,45
Utah,38
Vermont,0
Virginia,35
Washington,51
West Virginia,0
Wisconsin,31
Wyoming,0
