geoName,inconsolable
Alabama,65
Alaska,0
Arizona,34
Arkansas,45
California,55
Colorado,37
Connecticut,100
Delaware,0
District of Columbia,68
Florida,41
Georgia,39
Hawaii,66
Idaho,21
Illinois,43
Indiana,43
Iowa,91
Kansas,84
Kentucky,50
Louisiana,41
Maine,0
Maryland,35
Massachusetts,43
Michigan,40
Minnesota,40
Mississippi,14
Missouri,42
Montana,0
Nebraska,56
Nevada,74
New Hampshire,19
New Jersey,29
New Mexico,19
New York,56
North Carolina,32
North Dakota,0
Ohio,39
Oklahoma,70
Oregon,50
Pennsylvania,56
Rhode Island,0
South Carolina,39
South Dakota,0
Tennessee,31
Texas,55
Utah,57
Vermont,0
Virginia,52
Washington,43
West Virginia,0
Wisconsin,40
Wyoming,0
