ID,Year,LocationAbbr,LocationDesc,Class,Topic,Indicator,Response,DataSource,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Stratification,StratificationType,IndicatorId,LocationOrder,ParentStateDisplayOrder,FootnoteType,FootNoteSymbol,FootnoteText,URL,DatasourceAbbr,Agency
2937993,2014,AL,Alabama,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,BRFSS,%,Age-adjusted Prevalence,21.1,,,19.9,22.4,1961,Overall,Overall,ADDEPEV2,3,3,,,,,,
2937705,2014,AK,Alaska,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,BRFSS,%,Age-adjusted Prevalence,15.4,,,13.9,16.9,717,Overall,Overall,ADDEPEV2,4,4,,,,,,
2938455,2014,AZ,Arizona,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,BRFSS,%,Age-adjusted Prevalence,18.7,,,17.6,19.8,2809,Overall,Overall,ADDEPEV2,5,5,,,,,,
2938256,2014,AR,Arkansas,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,BRFSS,%,Age-adjusted Prevalence,21.5,,,19.6,23.3,1111,Overall,Overall,ADDEPEV2,6,6,,,,,,
2938282,2014,CA,California,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,BRFSS,%,Age-adjusted Prevalence,13.1,,,12.3,14,1317,Overall,Overall,ADDEPEV2,7,7,,,,,,
2938919,2014,CO,Colorado,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,BRFSS,%,Age-adjusted Prevalence,16.9,,,16.1,17.7,2301,Overall,Overall,ADDEPEV2,8,8,,,,,,
2938654,2014,CT,Connecticut,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,BRFSS,%,Age-adjusted Prevalence,18.2,,,16.9,19.5,1440,Overall,Overall,ADDEPEV2,9,9,,,,,,
2939069,2014,DE,Delaware,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,BRFSS,%,Age-adjusted Prevalence,18.3,,,16.4,20.1,802,Overall,Overall,ADDEPEV2,10,10,,,,,,
2939095,2014,DC,District of Columbia,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,BRFSS,%,Age-adjusted Prevalence,18.1,,,16.1,20.2,664,Overall,Overall,ADDEPEV2,11,11,,,,,,
2938830,2014,FL,Florida,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,BRFSS,%,Age-adjusted Prevalence,15.9,,,14.9,17,1640,Overall,Overall,ADDEPEV2,12,12,,,,,,
