,ground_truth_crude,ground_truth_adjusted,mental,antidepressant,psychiatrist,rejected,trajectory,woeful,wounded,abuse,caregiver,misery,kill,anxiety,reckless,nervous,distracted,nothing,health,sad,talk,monitor,unpredictable,distractable,opinion,appetite loss,fatalistic,upset,tearful,sadness,drinking,alienation,warning,misunderstanding,anger,despondent,fragile,down,uneasy,medication,patience,withdrawn,melancholia,nightmarish,pessimistic,pessimism,breakdown,level,endure,fatigue,clinical,failed,dreadful,poor,agitated,anxious,gloomy,amenorrhea,catatonic,distressed,progress,die,paranoid,heal,fight,debilitating,weak,worthless,peers,demoralized,sorrow,melancholy,weepy,irrational,miserable,drugs,worry,crying,treatment,struggle,cruel,hopelessness,irritable,interested,discontented,attitude,fast food,alcohol,crushed,finality,disheartened,unfulfilled,separation,pain,sympathetic,grouchy,disinterest,tragic,discrimination,seriousness,obesity,unconcerned,unloved,talking,death,detriment,grief,uncomfortable,observation,tragedy,unhappy,education,diagnosis,therapy,low sex drive,isolation,fat,trapped,abnormal,family,exhausted,gain,vulnerable,depressed,resulting,studies,terrified,uncooperative,unsettling,esteem,afraid,tired,prevent,protect,inactivity,suffer,desperate,insecure,media,distraught,crisis,suffering,anguish,grieving,withdrawal,lousy,need,burger,weight loss,physician,affect,broken,child,patient,help,devastated,dismal,pattern,disorder,friends,excluded,problem,skills,needy,shattered,evaluation,fatigued,inconsolable,inadequate,morbid,counsel,diet,desolate,hurt,freaking,overcome,lonely,wretched,overeating,mental health,agony,donut,injured,defeated,insomnia,low,sorrowful,suicidal,suicide,uncertain,wailing,fear,substance abuse,youth,antisocial,solitary,aid,moody,blase,forlorn,confusion,consumed,feelings,validation,courage,alone,panic,oppressed,improvement,downhearted,knowledgeable,dog days,abandoned,troubled,siblings,sleep,oncoming,despair,strength,isolated,scared,irritability,reactive,empty,hot-line,inability,depression,negative,sport,dejected
Alabama,22.1,22.0,84.0,57.0,91.0,70.0,76.0,0.0,44.0,76.0,12.0,19.0,95.0,71.0,64.0,91.0,56.0,95.0,58.0,28.0,58.0,38.0,29.0,0.0,29.0,95.0,82.0,93.0,28.0,82.0,72.0,73.0,58.0,51.0,75.0,58.0,76.0,93.0,94.0,85.0,80.0,75.0,39.0,43.0,77.0,69.0,67.0,93.0,60.0,92.0,51.0,72.0,73.0,91.0,60.0,78.0,81.0,47.0,66.0,72.0,12.0,89.0,73.0,35.0,72.0,48.0,93.0,86.0,49.0,55.0,69.0,82.0,23.0,59.0,76.0,58.0,89.0,87.0,87.0,75.0,73.0,70.0,69.0,98.0,25.0,40.0,76.0,76.0,53.0,100.0,36.0,30.0,81.0,88.0,73.0,25.0,0.0,90.0,74.0,40.0,71.0,50.0,93.0,52.0,90.0,39.0,85.0,67.0,74.0,83.0,73.0,86.0,90.0,76.0,51.0,75.0,91.0,72.0,80.0,90.0,50.0,99.0,56.0,69.0,74.0,78.0,84.0,0.0,90.0,78.0,85.0,81.0,86.0,93.0,53.0,79.0,69.0,64.0,51.0,48.0,68.0,88.0,80.0,49.0,74.0,33.0,94.0,69.0,96.0,85.0,87.0,15.0,86.0,73.0,87.0,61.0,57.0,70.0,81.0,81.0,100.0,93.0,89.0,55.0,59.0,63.0,62.0,24.0,80.0,64.0,23.0,93.0,64.0,88.0,48.0,90.0,73.0,54.0,51.0,74.0,42.0,56.0,90.0,70.0,62.0,85.0,48.0,57.0,75.0,50.0,52.0,55.0,59.0,72.0,90.0,86.0,50.0,100.0,64.0,63.0,75.0,67.0,72.0,18.0,76.0,69.0,96.0,47.0,64.0,0.0,78.0,100.0,78.0,77.0,73.0,96.0,17.0,67.0,84.0,66.0,90.0,81.0,67.0,77.0,0.0,83.0,82.0,85.0,66.0,35.0
Alaska,16.0,15.8,86.0,74.0,42.0,38.0,100.0,0.0,57.0,81.0,16.0,18.0,82.0,75.0,69.0,83.0,13.0,77.0,65.0,35.0,38.0,43.0,0.0,0.0,23.0,0.0,0.0,59.0,0.0,93.0,83.0,24.0,77.0,0.0,87.0,46.0,64.0,86.0,0.0,63.0,80.0,67.0,23.0,0.0,46.0,0.0,69.0,92.0,51.0,82.0,39.0,72.0,100.0,79.0,93.0,65.0,71.0,40.0,43.0,40.0,11.0,82.0,39.0,40.0,71.0,0.0,86.0,83.0,47.0,0.0,79.0,79.0,0.0,45.0,59.0,43.0,76.0,88.0,86.0,61.0,88.0,0.0,42.0,77.0,0.0,28.0,38.0,99.0,49.0,0.0,0.0,0.0,90.0,75.0,56.0,0.0,0.0,63.0,80.0,0.0,51.0,0.0,0.0,46.0,85.0,0.0,87.0,54.0,76.0,80.0,78.0,60.0,74.0,92.0,0.0,83.0,96.0,100.0,48.0,73.0,45.0,87.0,52.0,82.0,66.0,66.0,83.0,0.0,0.0,35.0,79.0,81.0,71.0,84.0,0.0,100.0,63.0,79.0,44.0,42.0,89.0,92.0,100.0,50.0,76.0,0.0,82.0,60.0,73.0,65.0,74.0,14.0,85.0,51.0,87.0,0.0,16.0,100.0,81.0,84.0,46.0,93.0,86.0,39.0,83.0,78.0,0.0,0.0,55.0,50.0,24.0,85.0,32.0,65.0,41.0,65.0,100.0,82.0,68.0,82.0,46.0,68.0,72.0,61.0,38.0,78.0,0.0,68.0,100.0,25.0,41.0,51.0,67.0,78.0,62.0,75.0,31.0,21.0,29.0,72.0,29.0,46.0,64.0,16.0,59.0,82.0,75.0,47.0,66.0,0.0,46.0,65.0,79.0,70.0,70.0,98.0,0.0,48.0,80.0,57.0,83.0,0.0,80.0,73.0,0.0,54.0,69.0,72.0,78.0,0.0
Arizona,18.5,18.4,56.0,55.0,65.0,65.0,46.0,35.0,45.0,68.0,32.0,21.0,80.0,74.0,66.0,69.0,47.0,88.0,73.0,35.0,37.0,42.0,56.0,0.0,29.0,65.0,35.0,84.0,36.0,82.0,71.0,46.0,53.0,47.0,84.0,61.0,73.0,82.0,61.0,82.0,80.0,71.0,84.0,18.0,61.0,54.0,64.0,79.0,64.0,88.0,51.0,78.0,78.0,80.0,55.0,80.0,63.0,54.0,38.0,42.0,9.0,83.0,67.0,38.0,83.0,47.0,81.0,62.0,42.0,39.0,52.0,99.0,50.0,63.0,80.0,45.0,62.0,90.0,83.0,70.0,72.0,41.0,60.0,82.0,75.0,34.0,96.0,82.0,47.0,58.0,94.0,39.0,68.0,76.0,70.0,49.0,31.0,62.0,72.0,35.0,73.0,65.0,32.0,100.0,89.0,45.0,82.0,83.0,69.0,71.0,61.0,56.0,72.0,86.0,54.0,83.0,89.0,61.0,65.0,81.0,56.0,87.0,58.0,81.0,52.0,62.0,60.0,43.0,65.0,73.0,77.0,80.0,76.0,84.0,37.0,64.0,63.0,66.0,49.0,53.0,80.0,81.0,62.0,46.0,79.0,57.0,86.0,85.0,81.0,72.0,73.0,13.0,78.0,55.0,80.0,67.0,19.0,62.0,74.0,81.0,73.0,84.0,75.0,55.0,92.0,61.0,56.0,67.0,59.0,49.0,25.0,84.0,66.0,64.0,63.0,77.0,63.0,47.0,47.0,42.0,54.0,71.0,79.0,51.0,49.0,100.0,26.0,81.0,90.0,56.0,47.0,55.0,60.0,55.0,63.0,77.0,32.0,14.0,47.0,62.0,70.0,53.0,63.0,23.0,62.0,67.0,76.0,59.0,69.0,0.0,63.0,62.0,74.0,53.0,70.0,90.0,54.0,53.0,70.0,68.0,76.0,38.0,70.0,83.0,0.0,63.0,77.0,80.0,71.0,32.0
Arkansas,23.5,23.6,74.0,100.0,75.0,75.0,59.0,0.0,52.0,85.0,16.0,19.0,99.0,77.0,73.0,100.0,59.0,90.0,63.0,33.0,79.0,40.0,65.0,0.0,30.0,83.0,90.0,100.0,0.0,73.0,77.0,100.0,67.0,32.0,89.0,66.0,92.0,95.0,84.0,85.0,93.0,78.0,46.0,0.0,79.0,57.0,63.0,100.0,54.0,83.0,39.0,73.0,82.0,88.0,46.0,81.0,100.0,59.0,29.0,52.0,11.0,96.0,74.0,37.0,65.0,66.0,89.0,87.0,57.0,0.0,67.0,82.0,38.0,59.0,76.0,49.0,78.0,88.0,89.0,94.0,79.0,58.0,68.0,91.0,0.0,42.0,74.0,80.0,56.0,0.0,0.0,0.0,69.0,87.0,76.0,36.0,0.0,87.0,90.0,49.0,63.0,0.0,77.0,53.0,96.0,65.0,91.0,70.0,90.0,90.0,73.0,94.0,88.0,80.0,100.0,81.0,90.0,60.0,82.0,86.0,59.0,96.0,51.0,77.0,70.0,82.0,65.0,0.0,74.0,97.0,90.0,84.0,86.0,84.0,35.0,78.0,63.0,91.0,48.0,62.0,76.0,81.0,71.0,48.0,77.0,27.0,100.0,63.0,83.0,64.0,93.0,18.0,90.0,62.0,95.0,47.0,27.0,79.0,86.0,85.0,79.0,91.0,100.0,100.0,76.0,70.0,56.0,53.0,100.0,46.0,24.0,93.0,76.0,87.0,63.0,100.0,74.0,50.0,31.0,57.0,51.0,62.0,86.0,57.0,43.0,85.0,22.0,75.0,85.0,58.0,98.0,54.0,46.0,67.0,70.0,87.0,35.0,27.0,41.0,44.0,100.0,50.0,79.0,21.0,74.0,73.0,81.0,70.0,77.0,0.0,72.0,60.0,84.0,73.0,83.0,92.0,82.0,73.0,77.0,93.0,91.0,52.0,85.0,77.0,0.0,69.0,95.0,92.0,67.0,49.0
California,12.9,12.8,60.0,48.0,66.0,80.0,45.0,61.0,33.0,60.0,22.0,20.0,77.0,67.0,55.0,73.0,40.0,82.0,54.0,33.0,36.0,43.0,53.0,100.0,37.0,58.0,69.0,79.0,51.0,100.0,70.0,52.0,60.0,57.0,78.0,68.0,77.0,79.0,57.0,69.0,81.0,73.0,64.0,18.0,73.0,74.0,62.0,70.0,52.0,66.0,51.0,79.0,83.0,74.0,71.0,84.0,95.0,54.0,54.0,44.0,10.0,76.0,73.0,36.0,78.0,55.0,81.0,49.0,56.0,44.0,54.0,88.0,59.0,60.0,68.0,40.0,70.0,91.0,73.0,80.0,80.0,69.0,54.0,87.0,39.0,33.0,83.0,84.0,45.0,38.0,67.0,46.0,70.0,65.0,66.0,37.0,68.0,63.0,70.0,38.0,61.0,55.0,46.0,47.0,85.0,53.0,74.0,77.0,67.0,69.0,61.0,49.0,55.0,72.0,51.0,82.0,83.0,56.0,55.0,67.0,57.0,85.0,63.0,75.0,39.0,64.0,55.0,42.0,82.0,74.0,66.0,75.0,78.0,81.0,41.0,65.0,65.0,81.0,56.0,60.0,68.0,66.0,65.0,43.0,68.0,54.0,83.0,90.0,62.0,56.0,71.0,13.0,66.0,43.0,69.0,47.0,27.0,53.0,61.0,81.0,67.0,89.0,71.0,53.0,75.0,56.0,68.0,54.0,51.0,50.0,35.0,72.0,63.0,60.0,48.0,68.0,71.0,47.0,45.0,50.0,53.0,91.0,74.0,45.0,42.0,75.0,37.0,75.0,81.0,52.0,61.0,46.0,38.0,53.0,61.0,73.0,63.0,14.0,53.0,53.0,77.0,49.0,65.0,29.0,58.0,69.0,75.0,59.0,54.0,33.0,72.0,59.0,68.0,50.0,68.0,92.0,77.0,64.0,64.0,75.0,76.0,37.0,63.0,91.0,10.0,53.0,70.0,80.0,89.0,58.0
Colorado,19.3,19.3,79.0,50.0,63.0,66.0,60.0,53.0,46.0,65.0,16.0,21.0,76.0,67.0,70.0,63.0,46.0,81.0,72.0,32.0,38.0,46.0,37.0,0.0,27.0,58.0,61.0,82.0,41.0,83.0,73.0,57.0,66.0,36.0,79.0,48.0,71.0,87.0,34.0,67.0,78.0,53.0,58.0,42.0,43.0,72.0,60.0,83.0,39.0,80.0,47.0,84.0,70.0,83.0,58.0,69.0,69.0,54.0,40.0,42.0,10.0,81.0,65.0,37.0,68.0,44.0,71.0,76.0,44.0,45.0,60.0,69.0,58.0,60.0,60.0,40.0,76.0,72.0,80.0,65.0,77.0,81.0,52.0,73.0,0.0,34.0,82.0,88.0,51.0,50.0,80.0,29.0,74.0,71.0,67.0,35.0,0.0,51.0,65.0,35.0,65.0,37.0,51.0,48.0,85.0,39.0,87.0,70.0,70.0,75.0,60.0,57.0,59.0,88.0,50.0,77.0,83.0,60.0,52.0,80.0,54.0,84.0,44.0,71.0,48.0,67.0,77.0,31.0,52.0,57.0,74.0,70.0,80.0,83.0,19.0,61.0,51.0,72.0,54.0,35.0,75.0,63.0,34.0,43.0,76.0,37.0,87.0,83.0,65.0,64.0,76.0,14.0,69.0,47.0,75.0,41.0,32.0,68.0,73.0,89.0,56.0,84.0,67.0,61.0,86.0,61.0,58.0,28.0,51.0,45.0,29.0,77.0,56.0,63.0,67.0,71.0,72.0,48.0,49.0,78.0,54.0,67.0,81.0,42.0,44.0,77.0,23.0,71.0,86.0,55.0,60.0,48.0,48.0,67.0,55.0,70.0,36.0,21.0,29.0,48.0,71.0,57.0,57.0,28.0,72.0,66.0,100.0,48.0,69.0,0.0,91.0,53.0,66.0,57.0,58.0,87.0,53.0,57.0,79.0,69.0,67.0,39.0,71.0,86.0,0.0,55.0,73.0,81.0,85.0,47.0
Connecticut,17.6,17.6,75.0,80.0,77.0,77.0,47.0,25.0,46.0,70.0,14.0,25.0,74.0,83.0,56.0,77.0,66.0,73.0,75.0,30.0,37.0,43.0,36.0,0.0,31.0,52.0,62.0,74.0,100.0,80.0,77.0,40.0,59.0,35.0,67.0,82.0,83.0,80.0,90.0,84.0,69.0,72.0,76.0,39.0,50.0,83.0,70.0,81.0,51.0,80.0,95.0,78.0,69.0,88.0,63.0,77.0,75.0,65.0,65.0,47.0,14.0,76.0,67.0,34.0,61.0,52.0,91.0,36.0,68.0,17.0,51.0,72.0,53.0,57.0,81.0,45.0,58.0,92.0,89.0,85.0,89.0,32.0,62.0,78.0,0.0,28.0,45.0,91.0,58.0,46.0,33.0,27.0,72.0,74.0,74.0,28.0,0.0,100.0,87.0,27.0,71.0,0.0,26.0,50.0,88.0,100.0,77.0,91.0,82.0,94.0,68.0,78.0,99.0,100.0,37.0,80.0,82.0,57.0,69.0,77.0,55.0,91.0,52.0,80.0,54.0,88.0,100.0,11.0,27.0,77.0,73.0,72.0,93.0,85.0,58.0,77.0,65.0,76.0,58.0,34.0,91.0,68.0,75.0,46.0,88.0,45.0,80.0,71.0,70.0,90.0,88.0,12.0,67.0,62.0,68.0,43.0,23.0,57.0,94.0,86.0,82.0,100.0,79.0,46.0,70.0,74.0,57.0,74.0,60.0,55.0,43.0,78.0,33.0,62.0,44.0,88.0,64.0,64.0,64.0,67.0,64.0,86.0,78.0,44.0,79.0,79.0,43.0,68.0,79.0,54.0,94.0,53.0,70.0,79.0,69.0,71.0,54.0,18.0,34.0,67.0,89.0,59.0,72.0,31.0,68.0,64.0,81.0,57.0,85.0,0.0,78.0,53.0,70.0,56.0,75.0,91.0,23.0,64.0,76.0,80.0,73.0,46.0,90.0,84.0,0.0,57.0,83.0,93.0,86.0,27.0
Delaware,17.9,17.9,74.0,74.0,92.0,100.0,53.0,0.0,47.0,81.0,22.0,17.0,81.0,82.0,62.0,69.0,57.0,75.0,63.0,26.0,40.0,43.0,76.0,0.0,36.0,79.0,57.0,83.0,0.0,93.0,84.0,80.0,58.0,0.0,84.0,91.0,100.0,87.0,90.0,80.0,75.0,100.0,47.0,0.0,69.0,0.0,81.0,90.0,63.0,91.0,65.0,85.0,91.0,79.0,67.0,80.0,57.0,100.0,42.0,53.0,11.0,75.0,36.0,32.0,68.0,51.0,95.0,57.0,61.0,0.0,57.0,50.0,0.0,62.0,26.0,46.0,65.0,83.0,86.0,70.0,69.0,0.0,93.0,83.0,0.0,29.0,46.0,82.0,51.0,0.0,0.0,0.0,100.0,83.0,100.0,79.0,0.0,68.0,70.0,0.0,100.0,0.0,0.0,50.0,89.0,0.0,88.0,39.0,98.0,69.0,59.0,74.0,89.0,96.0,0.0,86.0,86.0,58.0,72.0,86.0,72.0,97.0,48.0,80.0,77.0,77.0,50.0,0.0,0.0,77.0,71.0,82.0,88.0,79.0,0.0,78.0,100.0,74.0,68.0,53.0,68.0,69.0,72.0,50.0,94.0,0.0,86.0,57.0,70.0,83.0,84.0,12.0,74.0,64.0,76.0,45.0,27.0,66.0,90.0,100.0,36.0,89.0,88.0,83.0,77.0,82.0,47.0,0.0,69.0,42.0,44.0,81.0,32.0,67.0,47.0,80.0,69.0,46.0,11.0,52.0,38.0,57.0,100.0,31.0,100.0,79.0,100.0,75.0,83.0,100.0,42.0,47.0,71.0,54.0,74.0,81.0,80.0,19.0,67.0,61.0,57.0,60.0,56.0,30.0,51.0,71.0,90.0,57.0,66.0,0.0,58.0,57.0,98.0,58.0,71.0,95.0,70.0,53.0,80.0,53.0,84.0,0.0,100.0,81.0,0.0,100.0,82.0,89.0,75.0,21.0
District of Columbia,18.0,18.1,64.0,52.0,83.0,69.0,44.0,0.0,41.0,64.0,12.0,20.0,70.0,69.0,72.0,59.0,45.0,76.0,66.0,26.0,38.0,33.0,63.0,0.0,32.0,59.0,84.0,85.0,62.0,72.0,84.0,43.0,58.0,72.0,75.0,50.0,68.0,81.0,70.0,66.0,84.0,67.0,65.0,0.0,49.0,78.0,57.0,64.0,48.0,73.0,50.0,59.0,79.0,77.0,67.0,73.0,53.0,49.0,31.0,45.0,15.0,71.0,73.0,36.0,76.0,52.0,76.0,48.0,45.0,82.0,46.0,72.0,46.0,49.0,100.0,44.0,80.0,89.0,79.0,87.0,67.0,59.0,51.0,87.0,0.0,30.0,74.0,93.0,49.0,84.0,30.0,67.0,71.0,78.0,51.0,23.0,0.0,51.0,79.0,50.0,53.0,0.0,58.0,49.0,81.0,37.0,70.0,69.0,71.0,75.0,67.0,60.0,54.0,70.0,68.0,53.0,91.0,52.0,58.0,76.0,70.0,86.0,58.0,60.0,27.0,70.0,80.0,7.0,75.0,60.0,67.0,88.0,68.0,75.0,44.0,58.0,53.0,88.0,56.0,34.0,82.0,61.0,54.0,44.0,78.0,48.0,82.0,95.0,69.0,63.0,56.0,11.0,81.0,66.0,67.0,26.0,42.0,42.0,62.0,77.0,65.0,70.0,59.0,75.0,55.0,80.0,66.0,69.0,61.0,35.0,100.0,68.0,59.0,70.0,60.0,66.0,69.0,45.0,29.0,52.0,39.0,77.0,78.0,35.0,53.0,71.0,27.0,58.0,85.0,47.0,48.0,45.0,47.0,62.0,55.0,63.0,74.0,15.0,66.0,19.0,74.0,41.0,62.0,26.0,54.0,67.0,70.0,54.0,79.0,0.0,49.0,44.0,69.0,54.0,66.0,85.0,51.0,49.0,65.0,53.0,73.0,43.0,57.0,71.0,0.0,65.0,61.0,66.0,88.0,31.0
Florida,16.5,16.3,58.0,56.0,82.0,67.0,40.0,63.0,46.0,65.0,15.0,20.0,75.0,65.0,54.0,80.0,54.0,74.0,65.0,28.0,39.0,40.0,60.0,0.0,27.0,71.0,51.0,84.0,30.0,75.0,72.0,44.0,53.0,48.0,75.0,75.0,69.0,79.0,50.0,82.0,80.0,79.0,64.0,37.0,72.0,63.0,58.0,76.0,59.0,68.0,52.0,69.0,73.0,79.0,61.0,74.0,80.0,67.0,42.0,42.0,50.0,73.0,67.0,35.0,72.0,66.0,79.0,59.0,51.0,54.0,48.0,75.0,56.0,65.0,69.0,44.0,72.0,84.0,87.0,72.0,78.0,61.0,64.0,82.0,46.0,32.0,71.0,87.0,45.0,52.0,76.0,35.0,64.0,78.0,72.0,33.0,40.0,57.0,63.0,47.0,55.0,35.0,38.0,50.0,82.0,52.0,67.0,86.0,77.0,67.0,53.0,49.0,80.0,76.0,49.0,70.0,86.0,55.0,70.0,75.0,53.0,90.0,54.0,69.0,57.0,58.0,72.0,39.0,72.0,69.0,74.0,75.0,76.0,87.0,48.0,72.0,59.0,75.0,48.0,55.0,62.0,65.0,53.0,44.0,71.0,52.0,88.0,80.0,74.0,95.0,74.0,13.0,81.0,64.0,75.0,34.0,30.0,51.0,68.0,77.0,69.0,83.0,70.0,89.0,74.0,55.0,68.0,53.0,56.0,47.0,30.0,81.0,75.0,65.0,61.0,66.0,60.0,48.0,39.0,47.0,50.0,73.0,81.0,46.0,46.0,79.0,32.0,58.0,72.0,48.0,49.0,49.0,58.0,49.0,72.0,68.0,36.0,23.0,50.0,47.0,68.0,55.0,65.0,19.0,55.0,64.0,74.0,46.0,61.0,42.0,72.0,52.0,66.0,52.0,65.0,86.0,81.0,56.0,68.0,71.0,77.0,48.0,62.0,75.0,0.0,65.0,62.0,81.0,91.0,53.0
