date,interested,isPartial
2015-01-04,79,False
2015-01-11,89,False
2015-01-18,95,False
2015-01-25,98,False
2015-02-01,82,False
2015-02-08,89,False
2015-02-15,100,False
2015-02-22,91,False
2015-03-01,90,False
2015-03-08,89,False
2015-03-15,86,False
2015-03-22,82,False
2015-03-29,83,False
2015-04-05,81,False
2015-04-12,87,False
2015-04-19,97,False
2015-04-26,83,False
2015-05-03,85,False
2015-05-10,77,False
2015-05-17,75,False
2015-05-24,73,False
2015-05-31,72,False
2015-06-07,72,False
2015-06-14,69,False
2015-06-21,80,False
2015-06-28,74,False
2015-07-05,71,False
2015-07-12,72,False
2015-07-19,69,False
2015-07-26,77,False
2015-08-02,79,False
2015-08-09,66,False
2015-08-16,72,False
2015-08-23,79,False
2015-08-30,97,False
2015-09-06,88,False
2015-09-13,96,False
2015-09-20,93,False
2015-09-27,86,False
2015-10-04,100,False
2015-10-11,87,False
2015-10-18,95,False
2015-10-25,96,False
2015-11-01,89,False
2015-11-08,87,False
2015-11-15,87,False
2015-11-22,73,False
2015-11-29,92,False
2015-12-06,86,False
2015-12-13,79,False
2015-12-20,60,False
2015-12-27,67,False
