date,interested,isPartial
2012-01-01,74,False
2012-01-08,83,False
2012-01-15,85,False
2012-01-22,92,False
2012-01-29,91,False
2012-02-05,86,False
2012-02-12,82,False
2012-02-19,84,False
2012-02-26,81,False
2012-03-04,95,False
2012-03-11,100,False
2012-03-18,95,False
2012-03-25,80,False
2012-04-01,84,False
2012-04-08,90,False
2012-04-15,87,False
2012-04-22,91,False
2012-04-29,91,False
2012-05-06,81,False
2012-05-13,90,False
2012-05-20,84,False
2012-05-27,71,False
2012-06-03,91,False
2012-06-10,80,False
2012-06-17,72,False
2012-06-24,81,False
2012-07-01,74,False
2012-07-08,79,False
2012-07-15,80,False
2012-07-22,81,False
2012-07-29,77,False
2012-08-05,73,False
2012-08-12,72,False
2012-08-19,79,False
2012-08-26,77,False
2012-09-02,80,False
2012-09-09,85,False
2012-09-16,90,False
2012-09-23,84,False
2012-09-30,77,False
2012-10-07,80,False
2012-10-14,91,False
2012-10-21,79,False
2012-10-28,82,False
2012-11-04,85,False
2012-11-11,81,False
2012-11-18,72,False
2012-11-25,84,False
2012-12-02,86,False
2012-12-09,79,False
2012-12-16,61,False
2012-12-23,58,False
2012-12-30,66,False
