date,patient,isPartial
2016-01-03,83,False
2016-01-10,83,False
2016-01-17,87,False
2016-01-24,92,False
2016-01-31,95,False
2016-02-07,98,False
2016-02-14,99,False
2016-02-21,97,False
2016-02-28,98,False
2016-03-06,93,False
2016-03-13,91,False
2016-03-20,93,False
2016-03-27,97,False
2016-04-03,100,False
2016-04-10,98,False
2016-04-17,99,False
2016-04-24,92,False
2016-05-01,90,False
2016-05-08,84,False
2016-05-15,85,False
2016-05-22,88,False
2016-05-29,79,False
2016-06-05,84,False
2016-06-12,83,False
2016-06-19,84,False
2016-06-26,81,False
2016-07-03,77,False
2016-07-10,85,False
2016-07-17,85,False
2016-07-24,84,False
2016-07-31,83,False
2016-08-07,81,False
2016-08-14,80,False
2016-08-21,84,False
2016-08-28,87,False
2016-09-04,88,False
2016-09-11,95,False
2016-09-18,94,False
2016-09-25,96,False
2016-10-02,93,False
2016-10-09,94,False
2016-10-16,97,False
2016-10-23,98,False
2016-10-30,95,False
2016-11-06,85,False
2016-11-13,97,False
2016-11-20,71,False
2016-11-27,92,False
2016-12-04,90,False
2016-12-11,83,False
2016-12-18,67,False
2016-12-25,63,False
