geoName,patient
Alabama,65
Alaska,41
Arizona,53
Arkansas,59
California,44
Colorado,42
Connecticut,59
Delaware,61
District of Columbia,64
Florida,59
Georgia,54
Hawaii,42
Idaho,50
Illinois,51
Indiana,59
Iowa,52
Kansas,49
Kentucky,57
Louisiana,60
Maine,67
Maryland,97
Massachusetts,100
Michigan,57
Minnesota,56
Mississippi,56
Missouri,54
Montana,43
Nebraska,59
Nevada,47
New Hampshire,62
New Jersey,56
New Mexico,57
New York,51
North Carolina,62
North Dakota,54
Ohio,58
Oklahoma,56
Oregon,30
Pennsylvania,68
Rhode Island,70
South Carolina,61
South Dakota,80
Tennessee,67
Texas,52
Utah,41
Vermont,57
Virginia,62
Washington,45
West Virginia,70
Wisconsin,49
Wyoming,44
