geoName,patient
Alabama,73
Alaska,51
Arizona,55
Arkansas,62
California,43
Colorado,47
Connecticut,62
Delaware,64
District of Columbia,66
Florida,64
Georgia,58
Hawaii,42
Idaho,51
Illinois,49
Indiana,60
Iowa,51
Kansas,48
Kentucky,58
Louisiana,61
Maine,69
Maryland,94
Massachusetts,100
Michigan,63
Minnesota,61
Mississippi,70
Missouri,58
Montana,46
Nebraska,53
Nevada,46
New Hampshire,70
New Jersey,56
New Mexico,55
New York,50
North Carolina,58
North Dakota,61
Ohio,61
Oklahoma,53
Oregon,35
Pennsylvania,68
Rhode Island,63
South Carolina,56
South Dakota,69
Tennessee,69
Texas,52
Utah,43
Vermont,52
Virginia,59
Washington,43
West Virginia,69
Wisconsin,50
Wyoming,50
