date,patient,isPartial
2015-01-04,75,False
2015-01-11,82,False
2015-01-18,86,False
2015-01-25,89,False
2015-02-01,86,False
2015-02-08,85,False
2015-02-15,81,False
2015-02-22,89,False
2015-03-01,91,False
2015-03-08,87,False
2015-03-15,86,False
2015-03-22,85,False
2015-03-29,88,False
2015-04-05,87,False
2015-04-12,93,False
2015-04-19,91,False
2015-04-26,87,False
2015-05-03,86,False
2015-05-10,85,False
2015-05-17,84,False
2015-05-24,79,False
2015-05-31,85,False
2015-06-07,90,False
2015-06-14,86,False
2015-06-21,92,False
2015-06-28,84,False
2015-07-05,86,False
2015-07-12,84,False
2015-07-19,88,False
2015-07-26,84,False
2015-08-02,88,False
2015-08-09,87,False
2015-08-16,86,False
2015-08-23,88,False
2015-08-30,90,False
2015-09-06,89,False
2015-09-13,98,False
2015-09-20,96,False
2015-09-27,99,False
2015-10-04,100,False
2015-10-11,98,False
2015-10-18,96,False
2015-10-25,95,False
2015-11-01,100,False
2015-11-08,95,False
2015-11-15,92,False
2015-11-22,75,False
2015-11-29,92,False
2015-12-06,88,False
2015-12-13,80,False
2015-12-20,61,False
2015-12-27,64,False
