date,patient,isPartial
2012-01-01,70,False
2012-01-08,83,False
2012-01-15,83,False
2012-01-22,91,False
2012-01-29,91,False
2012-02-05,93,False
2012-02-12,97,False
2012-02-19,88,False
2012-02-26,94,False
2012-03-04,90,False
2012-03-11,85,False
2012-03-18,87,False
2012-03-25,88,False
2012-04-01,87,False
2012-04-08,91,False
2012-04-15,90,False
2012-04-22,88,False
2012-04-29,88,False
2012-05-06,82,False
2012-05-13,83,False
2012-05-20,86,False
2012-05-27,80,False
2012-06-03,84,False
2012-06-10,88,False
2012-06-17,85,False
2012-06-24,89,False
2012-07-01,75,False
2012-07-08,86,False
2012-07-15,89,False
2012-07-22,91,False
2012-07-29,83,False
2012-08-05,80,False
2012-08-12,86,False
2012-08-19,87,False
2012-08-26,88,False
2012-09-02,87,False
2012-09-09,97,False
2012-09-16,94,False
2012-09-23,94,False
2012-09-30,97,False
2012-10-07,93,False
2012-10-14,100,False
2012-10-21,97,False
2012-10-28,89,False
2012-11-04,94,False
2012-11-11,92,False
2012-11-18,73,False
2012-11-25,90,False
2012-12-02,94,False
2012-12-09,85,False
2012-12-16,72,False
2012-12-23,57,False
2012-12-30,70,False
