date,patient,isPartial
2014-01-05,43,False
2014-01-12,49,False
2014-01-19,50,False
2014-01-26,50,False
2014-02-02,50,False
2014-02-09,53,False
2014-02-16,53,False
2014-02-23,55,False
2014-03-02,52,False
2014-03-09,52,False
2014-03-16,51,False
2014-03-23,53,False
2014-03-30,54,False
2014-04-06,55,False
2014-04-13,54,False
2014-04-20,52,False
2014-04-27,54,False
2014-05-04,49,False
2014-05-11,52,False
2014-05-18,52,False
2014-05-25,47,False
2014-06-01,51,False
2014-06-08,50,False
2014-06-15,49,False
2014-06-22,52,False
2014-06-29,47,False
2014-07-06,52,False
2014-07-13,53,False
2014-07-20,54,False
2014-07-27,55,False
2014-08-03,61,False
2014-08-10,52,False
2014-08-17,54,False
2014-08-24,52,False
2014-08-31,51,False
2014-09-07,58,False
2014-09-14,60,False
2014-09-21,60,False
2014-09-28,85,False
2014-10-05,100,False
2014-10-12,99,False
2014-10-19,73,False
2014-10-26,67,False
2014-11-02,64,False
2014-11-09,61,False
2014-11-16,61,False
2014-11-23,47,False
2014-11-30,56,False
2014-12-07,52,False
2014-12-14,47,False
2014-12-21,35,False
2014-12-28,40,False
