geoName,patient
Alabama,70
Alaska,54
Arizona,55
Arkansas,61
California,45
Colorado,45
Connecticut,58
Delaware,64
District of Columbia,78
Florida,55
Georgia,52
Hawaii,46
Idaho,52
Illinois,51
Indiana,61
Iowa,52
Kansas,49
Kentucky,64
Louisiana,58
Maine,71
Maryland,100
Massachusetts,96
Michigan,59
Minnesota,56
Mississippi,59
Missouri,53
Montana,51
Nebraska,59
Nevada,42
New Hampshire,58
New Jersey,54
New Mexico,58
New York,50
North Carolina,60
North Dakota,55
Ohio,62
Oklahoma,54
Oregon,37
Pennsylvania,66
Rhode Island,72
South Carolina,62
South Dakota,76
Tennessee,67
Texas,52
Utah,40
Vermont,50
Virginia,90
Washington,47
West Virginia,66
Wisconsin,51
Wyoming,52
