geoName,patient
Alabama,71
Alaska,48
Arizona,59
Arkansas,61
California,44
Colorado,47
Connecticut,61
Delaware,67
District of Columbia,67
Florida,63
Georgia,60
Hawaii,44
Idaho,51
Illinois,51
Indiana,58
Iowa,47
Kansas,54
Kentucky,61
Louisiana,60
Maine,65
Maryland,100
Massachusetts,93
Michigan,65
Minnesota,57
Mississippi,68
Missouri,56
Montana,46
Nebraska,56
Nevada,45
New Hampshire,63
New Jersey,61
New Mexico,57
New York,54
North Carolina,59
North Dakota,58
Ohio,60
Oklahoma,60
Oregon,46
Pennsylvania,69
Rhode Island,63
South Carolina,64
South Dakota,73
Tennessee,67
Texas,54
Utah,41
Vermont,61
Virginia,89
Washington,45
West Virginia,73
Wisconsin,48
Wyoming,45
