geoName,patient
Alabama,70
Alaska,53
Arizona,53
Arkansas,65
California,43
Colorado,45
Connecticut,55
Delaware,73
District of Columbia,78
Florida,57
Georgia,53
Hawaii,46
Idaho,49
Illinois,48
Indiana,58
Iowa,54
Kansas,52
Kentucky,64
Louisiana,62
Maine,55
Maryland,100
Massachusetts,80
Michigan,62
Minnesota,50
Mississippi,67
Missouri,58
Montana,61
Nebraska,53
Nevada,44
New Hampshire,68
New Jersey,55
New Mexico,55
New York,48
North Carolina,60
North Dakota,49
Ohio,60
Oklahoma,59
Oregon,48
Pennsylvania,63
Rhode Island,61
South Carolina,64
South Dakota,65
Tennessee,80
Texas,47
Utah,45
Vermont,52
Virginia,88
Washington,48
West Virginia,60
Wisconsin,57
Wyoming,54
