date,inadequate,isPartial
2012-01-01,53,False
2012-01-08,53,False
2012-01-15,73,False
2012-01-22,71,False
2012-01-29,78,False
2012-02-05,88,False
2012-02-12,62,False
2012-02-19,79,False
2012-02-26,83,False
2012-03-04,81,False
2012-03-11,72,False
2012-03-18,73,False
2012-03-25,67,False
2012-04-01,78,False
2012-04-08,67,False
2012-04-15,88,False
2012-04-22,80,False
2012-04-29,69,False
2012-05-06,91,False
2012-05-13,71,False
2012-05-20,58,False
2012-05-27,52,False
2012-06-03,50,False
2012-06-10,65,False
2012-06-17,59,False
2012-06-24,68,False
2012-07-01,69,False
2012-07-08,56,False
2012-07-15,61,False
2012-07-22,70,False
2012-07-29,70,False
2012-08-05,54,False
2012-08-12,42,False
2012-08-19,45,False
2012-08-26,60,False
2012-09-02,66,False
2012-09-09,64,False
2012-09-16,69,False
2012-09-23,72,False
2012-09-30,100,False
2012-10-07,70,False
2012-10-14,78,False
2012-10-21,75,False
2012-10-28,62,False
2012-11-04,67,False
2012-11-11,75,False
2012-11-18,61,False
2012-11-25,80,False
2012-12-02,80,False
2012-12-09,83,False
2012-12-16,56,False
2012-12-23,37,False
2012-12-30,40,False
