date,counsel,isPartial
2015-01-04,88,False
2015-01-11,94,False
2015-01-18,81,False
2015-01-25,90,False
2015-02-01,84,False
2015-02-08,94,False
2015-02-15,89,False
2015-02-22,96,False
2015-03-01,90,False
2015-03-08,95,False
2015-03-15,91,False
2015-03-22,96,False
2015-03-29,87,False
2015-04-05,91,False
2015-04-12,86,False
2015-04-19,93,False
2015-04-26,94,False
2015-05-03,89,False
2015-05-10,92,False
2015-05-17,92,False
2015-05-24,76,False
2015-05-31,85,False
2015-06-07,93,False
2015-06-14,85,False
2015-06-21,93,False
2015-06-28,75,False
2015-07-05,93,False
2015-07-12,90,False
2015-07-19,94,False
2015-07-26,88,False
2015-08-02,82,False
2015-08-09,85,False
2015-08-16,88,False
2015-08-23,88,False
2015-08-30,100,False
2015-09-06,88,False
2015-09-13,95,False
2015-09-20,93,False
2015-09-27,94,False
2015-10-04,96,False
2015-10-11,94,False
2015-10-18,94,False
2015-10-25,97,False
2015-11-01,93,False
2015-11-08,86,False
2015-11-15,89,False
2015-11-22,61,False
2015-11-29,86,False
2015-12-06,92,False
2015-12-13,82,False
2015-12-20,65,False
2015-12-27,53,False
