geoName,medication
Alabama,94
Alaska,73
Arizona,86
Arkansas,93
California,70
Colorado,75
Connecticut,82
Delaware,82
District of Columbia,71
Florida,83
Georgia,76
Hawaii,78
Idaho,87
Illinois,70
Indiana,88
Iowa,83
Kansas,89
Kentucky,95
Louisiana,96
Maine,85
Maryland,86
Massachusetts,77
Michigan,83
Minnesota,88
Mississippi,85
Missouri,84
Montana,83
Nebraska,89
Nevada,76
New Hampshire,80
New Jersey,78
New Mexico,88
New York,72
North Carolina,83
North Dakota,94
Ohio,85
Oklahoma,89
Oregon,56
Pennsylvania,87
Rhode Island,79
South Carolina,87
South Dakota,100
Tennessee,91
Texas,79
Utah,78
Vermont,77
Virginia,78
Washington,77
West Virginia,97
Wisconsin,86
Wyoming,80
