geoName,medication
Alabama,85
Alaska,63
Arizona,82
Arkansas,85
California,69
Colorado,67
Connecticut,84
Delaware,80
District of Columbia,66
Florida,82
Georgia,77
Hawaii,65
Idaho,81
Illinois,69
Indiana,82
Iowa,77
Kansas,67
Kentucky,89
Louisiana,82
Maine,89
Maryland,77
Massachusetts,73
Michigan,79
Minnesota,84
Mississippi,84
Missouri,80
Montana,81
Nebraska,77
Nevada,76
New Hampshire,86
New Jersey,72
New Mexico,80
New York,71
North Carolina,76
North Dakota,83
Ohio,82
Oklahoma,81
Oregon,57
Pennsylvania,81
Rhode Island,76
South Carolina,82
South Dakota,95
Tennessee,87
Texas,76
Utah,73
Vermont,58
Virginia,48
Washington,67
West Virginia,100
Wisconsin,77
Wyoming,77
