geoName,medication
Alabama,83
Alaska,76
Arizona,80
Arkansas,81
California,62
Colorado,61
Connecticut,77
Delaware,71
District of Columbia,63
Florida,76
Georgia,70
Hawaii,62
Idaho,71
Illinois,65
Indiana,75
Iowa,67
Kansas,71
Kentucky,82
Louisiana,78
Maine,80
Maryland,74
Massachusetts,69
Michigan,78
Minnesota,76
Mississippi,76
Missouri,73
Montana,68
Nebraska,77
Nevada,68
New Hampshire,72
New Jersey,70
New Mexico,79
New York,68
North Carolina,69
North Dakota,83
Ohio,70
Oklahoma,87
Oregon,63
Pennsylvania,75
Rhode Island,70
South Carolina,68
South Dakota,79
Tennessee,81
Texas,68
Utah,67
Vermont,71
Virginia,71
Washington,64
West Virginia,100
Wisconsin,70
Wyoming,69
