date,medication,isPartial
2014-01-05,84,False
2014-01-12,90,False
2014-01-19,87,False
2014-01-26,95,False
2014-02-02,89,False
2014-02-09,87,False
2014-02-16,90,False
2014-02-23,99,False
2014-03-02,94,False
2014-03-09,99,False
2014-03-16,94,False
2014-03-23,94,False
2014-03-30,94,False
2014-04-06,96,False
2014-04-13,92,False
2014-04-20,100,False
2014-04-27,95,False
2014-05-04,88,False
2014-05-11,87,False
2014-05-18,90,False
2014-05-25,85,False
2014-06-01,89,False
2014-06-08,90,False
2014-06-15,93,False
2014-06-22,92,False
2014-06-29,81,False
2014-07-06,90,False
2014-07-13,90,False
2014-07-20,93,False
2014-07-27,90,False
2014-08-03,92,False
2014-08-10,93,False
2014-08-17,94,False
2014-08-24,92,False
2014-08-31,89,False
2014-09-07,94,False
2014-09-14,92,False
2014-09-21,96,False
2014-09-28,98,False
2014-10-05,98,False
2014-10-12,94,False
2014-10-19,95,False
2014-10-26,97,False
2014-11-02,98,False
2014-11-09,95,False
2014-11-16,91,False
2014-11-23,78,False
2014-11-30,91,False
2014-12-07,88,False
2014-12-14,85,False
2014-12-21,71,False
2014-12-28,83,False
