date,medication,isPartial
2013-01-06,91,False
2013-01-13,95,False
2013-01-20,93,False
2013-01-27,94,False
2013-02-03,99,False
2013-02-10,89,False
2013-02-17,92,False
2013-02-24,90,False
2013-03-03,92,False
2013-03-10,93,False
2013-03-17,97,False
2013-03-24,95,False
2013-03-31,99,False
2013-04-07,97,False
2013-04-14,96,False
2013-04-21,99,False
2013-04-28,99,False
2013-05-05,94,False
2013-05-12,100,False
2013-05-19,93,False
2013-05-26,91,False
2013-06-02,92,False
2013-06-09,90,False
2013-06-16,90,False
2013-06-23,91,False
2013-06-30,83,False
2013-07-07,90,False
2013-07-14,92,False
2013-07-21,94,False
2013-07-28,91,False
2013-08-04,93,False
2013-08-11,94,False
2013-08-18,95,False
2013-08-25,92,False
2013-09-01,89,False
2013-09-08,94,False
2013-09-15,98,False
2013-09-22,95,False
2013-09-29,97,False
2013-10-06,96,False
2013-10-13,97,False
2013-10-20,95,False
2013-10-27,95,False
2013-11-03,100,False
2013-11-10,96,False
2013-11-17,97,False
2013-11-24,78,False
2013-12-01,92,False
2013-12-08,89,False
2013-12-15,84,False
2013-12-22,72,False
2013-12-29,79,False
