geoName,medication
Alabama,80
Alaska,76
Arizona,78
Arkansas,81
California,63
Colorado,61
Connecticut,79
Delaware,75
District of Columbia,66
Florida,80
Georgia,67
Hawaii,69
Idaho,76
Illinois,67
Indiana,79
Iowa,75
Kansas,71
Kentucky,85
Louisiana,76
Maine,85
Maryland,76
Massachusetts,71
Michigan,78
Minnesota,80
Mississippi,89
Missouri,77
Montana,79
Nebraska,80
Nevada,68
New Hampshire,70
New Jersey,71
New Mexico,82
New York,66
North Carolina,76
North Dakota,70
Ohio,78
Oklahoma,88
Oregon,43
Pennsylvania,80
Rhode Island,78
South Carolina,76
South Dakota,100
Tennessee,85
Texas,71
Utah,73
Vermont,68
Virginia,54
Washington,66
West Virginia,94
Wisconsin,75
Wyoming,74
