geoName,medication
Alabama,83
Alaska,76
Arizona,79
Arkansas,89
California,63
Colorado,65
Connecticut,72
Delaware,78
District of Columbia,65
Florida,78
Georgia,71
Hawaii,67
Idaho,85
Illinois,70
Indiana,83
Iowa,78
Kansas,77
Kentucky,88
Louisiana,81
Maine,83
Maryland,74
Massachusetts,70
Michigan,75
Minnesota,76
Mississippi,88
Missouri,76
Montana,81
Nebraska,87
Nevada,73
New Hampshire,80
New Jersey,66
New Mexico,77
New York,65
North Carolina,79
North Dakota,100
Ohio,79
Oklahoma,85
Oregon,73
Pennsylvania,80
Rhode Island,78
South Carolina,82
South Dakota,88
Tennessee,83
Texas,73
Utah,70
Vermont,76
Virginia,75
Washington,67
West Virginia,100
Wisconsin,79
Wyoming,79
