date,medication,isPartial
2012-01-01,84,False
2012-01-08,89,False
2012-01-15,89,False
2012-01-22,95,False
2012-01-29,90,False
2012-02-05,86,False
2012-02-12,91,False
2012-02-19,92,False
2012-02-26,98,False
2012-03-04,90,False
2012-03-11,90,False
2012-03-18,87,False
2012-03-25,93,False
2012-04-01,91,False
2012-04-08,100,False
2012-04-15,95,False
2012-04-22,93,False
2012-04-29,92,False
2012-05-06,90,False
2012-05-13,89,False
2012-05-20,92,False
2012-05-27,88,False
2012-06-03,92,False
2012-06-10,88,False
2012-06-17,90,False
2012-06-24,91,False
2012-07-01,86,False
2012-07-08,94,False
2012-07-15,93,False
2012-07-22,93,False
2012-07-29,92,False
2012-08-05,84,False
2012-08-12,91,False
2012-08-19,90,False
2012-08-26,91,False
2012-09-02,89,False
2012-09-09,94,False
2012-09-16,99,False
2012-09-23,96,False
2012-09-30,92,False
2012-10-07,89,False
2012-10-14,90,False
2012-10-21,91,False
2012-10-28,86,False
2012-11-04,85,False
2012-11-11,88,False
2012-11-18,76,False
2012-11-25,89,False
2012-12-02,93,False
2012-12-09,83,False
2012-12-16,81,False
2012-12-23,71,False
2012-12-30,84,False
