date,medication,isPartial
2011-01-02,97,False
2011-01-09,88,False
2011-01-16,88,False
2011-01-23,93,False
2011-01-30,88,False
2011-02-06,93,False
2011-02-13,95,False
2011-02-20,94,False
2011-02-27,97,False
2011-03-06,95,False
2011-03-13,92,False
2011-03-20,96,False
2011-03-27,100,False
2011-04-03,99,False
2011-04-10,96,False
2011-04-17,92,False
2011-04-24,97,False
2011-05-01,93,False
2011-05-08,95,False
2011-05-15,97,False
2011-05-22,90,False
2011-05-29,87,False
2011-06-05,93,False
2011-06-12,94,False
2011-06-19,89,False
2011-06-26,93,False
2011-07-03,91,False
2011-07-10,92,False
2011-07-17,94,False
2011-07-24,93,False
2011-07-31,93,False
2011-08-07,87,False
2011-08-14,91,False
2011-08-21,86,False
2011-08-28,87,False
2011-09-04,87,False
2011-09-11,93,False
2011-09-18,96,False
2011-09-25,96,False
2011-10-02,93,False
2011-10-09,94,False
2011-10-16,93,False
2011-10-23,92,False
2011-10-30,94,False
2011-11-06,89,False
2011-11-13,95,False
2011-11-20,77,False
2011-11-27,94,False
2011-12-04,85,False
2011-12-11,84,False
2011-12-18,78,False
2011-12-25,79,False
