date,isolation,isPartial
2014-01-05,19,False
2014-01-12,18,False
2014-01-19,16,False
2014-01-26,16,False
2014-02-02,15,False
2014-02-09,16,False
2014-02-16,18,False
2014-02-23,19,False
2014-03-02,17,False
2014-03-09,16,False
2014-03-16,18,False
2014-03-23,16,False
2014-03-30,18,False
2014-04-06,18,False
2014-04-13,16,False
2014-04-20,18,False
2014-04-27,19,False
2014-05-04,16,False
2014-05-11,15,False
2014-05-18,16,False
2014-05-25,15,False
2014-06-01,14,False
2014-06-08,17,False
2014-06-15,13,False
2014-06-22,12,False
2014-06-29,12,False
2014-07-06,18,False
2014-07-13,14,False
2014-07-20,15,False
2014-07-27,14,False
2014-08-03,14,False
2014-08-10,14,False
2014-08-17,15,False
2014-08-24,15,False
2014-08-31,13,False
2014-09-07,16,False
2014-09-14,20,False
2014-09-21,21,False
2014-09-28,43,False
2014-10-05,100,False
2014-10-12,68,False
2014-10-19,48,False
2014-10-26,38,False
2014-11-02,29,False
2014-11-09,28,False
2014-11-16,23,False
2014-11-23,23,False
2014-11-30,26,False
2014-12-07,24,False
2014-12-14,21,False
2014-12-21,23,False
2014-12-28,25,False
