date,grief,isPartial
2012-01-01,75,False
2012-01-08,82,False
2012-01-15,73,False
2012-01-22,89,False
2012-01-29,92,False
2012-02-05,93,False
2012-02-12,85,False
2012-02-19,90,False
2012-02-26,93,False
2012-03-04,88,False
2012-03-11,85,False
2012-03-18,84,False
2012-03-25,83,False
2012-04-01,87,False
2012-04-08,82,False
2012-04-15,91,False
2012-04-22,83,False
2012-04-29,92,False
2012-05-06,93,False
2012-05-13,92,False
2012-05-20,85,False
2012-05-27,79,False
2012-06-03,88,False
2012-06-10,81,False
2012-06-17,83,False
2012-06-24,89,False
2012-07-01,69,False
2012-07-08,76,False
2012-07-15,78,False
2012-07-22,78,False
2012-07-29,78,False
2012-08-05,80,False
2012-08-12,79,False
2012-08-19,75,False
2012-08-26,78,False
2012-09-02,74,False
2012-09-09,86,False
2012-09-16,88,False
2012-09-23,85,False
2012-09-30,84,False
2012-10-07,94,False
2012-10-14,91,False
2012-10-21,78,False
2012-10-28,82,False
2012-11-04,88,False
2012-11-11,96,False
2012-11-18,74,False
2012-11-25,91,False
2012-12-02,87,False
2012-12-09,100,False
2012-12-16,96,False
2012-12-23,70,False
2012-12-30,71,False
