date,crisis,isPartial
2012-01-01,71,False
2012-01-08,77,False
2012-01-15,72,False
2012-01-22,74,False
2012-01-29,72,False
2012-02-05,82,False
2012-02-12,78,False
2012-02-19,79,False
2012-02-26,79,False
2012-03-04,85,False
2012-03-11,73,False
2012-03-18,78,False
2012-03-25,80,False
2012-04-01,80,False
2012-04-08,77,False
2012-04-15,92,False
2012-04-22,94,False
2012-04-29,92,False
2012-05-06,92,False
2012-05-13,85,False
2012-05-20,83,False
2012-05-27,75,False
2012-06-03,71,False
2012-06-10,69,False
2012-06-17,64,False
2012-06-24,60,False
2012-07-01,57,False
2012-07-08,60,False
2012-07-15,60,False
2012-07-22,60,False
2012-07-29,55,False
2012-08-05,50,False
2012-08-12,55,False
2012-08-19,58,False
2012-08-26,62,False
2012-09-02,67,False
2012-09-09,71,False
2012-09-16,73,False
2012-09-23,75,False
2012-09-30,72,False
2012-10-07,70,False
2012-10-14,84,False
2012-10-21,93,False
2012-10-28,100,False
2012-11-04,90,False
2012-11-11,86,False
2012-11-18,66,False
2012-11-25,81,False
2012-12-02,85,False
2012-12-09,81,False
2012-12-16,63,False
2012-12-23,45,False
2012-12-30,63,False
