date,crisis,isPartial
2016-01-03,63,False
2016-01-10,69,False
2016-01-17,100,False
2016-01-24,90,False
2016-01-31,86,False
2016-02-07,88,False
2016-02-14,83,False
2016-02-21,86,False
2016-02-28,81,False
2016-03-06,86,False
2016-03-13,80,False
2016-03-20,82,False
2016-03-27,80,False
2016-04-03,87,False
2016-04-10,92,False
2016-04-17,89,False
2016-04-24,92,False
2016-05-01,88,False
2016-05-08,82,False
2016-05-15,75,False
2016-05-22,72,False
2016-05-29,61,False
2016-06-05,67,False
2016-06-12,68,False
2016-06-19,57,False
2016-06-26,58,False
2016-07-03,54,False
2016-07-10,54,False
2016-07-17,56,False
2016-07-24,66,False
2016-07-31,51,False
2016-08-07,48,False
2016-08-14,48,False
2016-08-21,48,False
2016-08-28,54,False
2016-09-04,53,False
2016-09-11,62,False
2016-09-18,71,False
2016-09-25,68,False
2016-10-02,66,False
2016-10-09,66,False
2016-10-16,70,False
2016-10-23,67,False
2016-10-30,70,False
2016-11-06,65,False
2016-11-13,73,False
2016-11-20,58,False
2016-11-27,80,False
2016-12-04,75,False
2016-12-11,73,False
2016-12-18,54,False
2016-12-25,42,False
