date,crisis,isPartial
2014-01-05,47,False
2014-01-12,51,False
2014-01-19,53,False
2014-01-26,53,False
2014-02-02,53,False
2014-02-09,58,False
2014-02-16,59,False
2014-02-23,67,False
2014-03-02,84,False
2014-03-09,76,False
2014-03-16,100,False
2014-03-23,90,False
2014-03-30,81,False
2014-04-06,81,False
2014-04-13,83,False
2014-04-20,86,False
2014-04-27,87,False
2014-05-04,88,False
2014-05-11,84,False
2014-05-18,84,False
2014-05-25,71,False
2014-06-01,67,False
2014-06-08,58,False
2014-06-15,63,False
2014-06-22,62,False
2014-06-29,49,False
2014-07-06,58,False
2014-07-13,61,False
2014-07-20,51,False
2014-07-27,51,False
2014-08-03,53,False
2014-08-10,47,False
2014-08-17,46,False
2014-08-24,50,False
2014-08-31,57,False
2014-09-07,53,False
2014-09-14,56,False
2014-09-21,56,False
2014-09-28,58,False
2014-10-05,59,False
2014-10-12,59,False
2014-10-19,60,False
2014-10-26,56,False
2014-11-02,59,False
2014-11-09,61,False
2014-11-16,59,False
2014-11-23,48,False
2014-11-30,61,False
2014-12-07,62,False
2014-12-14,61,False
2014-12-21,34,False
2014-12-28,35,False
