date,crisis,isPartial
2011-01-02,40,False
2011-01-09,44,False
2011-01-16,42,False
2011-01-23,47,False
2011-01-30,58,False
2011-02-06,49,False
2011-02-13,52,False
2011-02-20,50,False
2011-02-27,53,False
2011-03-06,49,False
2011-03-13,100,False
2011-03-20,79,False
2011-03-27,70,False
2011-04-03,65,False
2011-04-10,66,False
2011-04-17,55,False
2011-04-24,55,False
2011-05-01,57,False
2011-05-08,57,False
2011-05-15,48,False
2011-05-22,46,False
2011-05-29,45,False
2011-06-05,40,False
2011-06-12,41,False
2011-06-19,38,False
2011-06-26,37,False
2011-07-03,34,False
2011-07-10,37,False
2011-07-17,39,False
2011-07-24,54,False
2011-07-31,50,False
2011-08-07,42,False
2011-08-14,34,False
2011-08-21,33,False
2011-08-28,36,False
2011-09-04,39,False
2011-09-11,41,False
2011-09-18,40,False
2011-09-25,44,False
2011-10-02,44,False
2011-10-09,48,False
2011-10-16,47,False
2011-10-23,50,False
2011-10-30,49,False
2011-11-06,52,False
2011-11-13,51,False
2011-11-20,39,False
2011-11-27,52,False
2011-12-04,54,False
2011-12-11,49,False
2011-12-18,37,False
2011-12-25,35,False
